,species,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear,range.cat,year,IUCN,rangesize,icmbio.cat
159,Amphisbaena mebengokre*,365,125,240,0.3425,0,0.5342,0,0.0027,2005,Restricted,2019,-,365,DD
160,Amphisbaena mebengokre*,367,136,231,0.3706,0,0.4932,0,0,2000,Restricted,2019,-,365,DD
161,Amphisbaena neglecta,366,274,92,0.7486,0.0055,0.1885,0,0.0027,2020,Restricted,1936,DD,367,DD
162,Amphisbaena neglecta,368,272,96,0.7391,0.0054,0.2011,0,0.0054,2015,Restricted,1936,DD,367,DD
163,Amphisbaena neglecta,366,273,93,0.7459,0,0.2049,0,0.0055,2005,Restricted,1936,DD,367,DD
164,Amphisbaena neglecta,367,276,91,0.752,0,0.1853,0,0.0027,2010,Restricted,1936,DD,367,DD
165,Amphisbaena neglecta,366,275,91,0.7514,0,0.2049,0,0.0027,2000,Restricted,1936,DD,367,DD
166,Amphisbaena persephone*,369,207,162,0.561,0,0.0054,0,0.3062,2020,Restricted,2014,-,370,-
167,Amphisbaena persephone*,370,347,23,0.9378,0,0,0,0.0378,2005,Restricted,2014,-,370,-
168,Amphisbaena persephone*,370,212,158,0.573,0,0.0054,0,0.3541,2015,Restricted,2014,-,370,-
169,Amphisbaena persephone*,369,276,93,0.748,0,0.0027,0,0.1301,2010,Restricted,2014,-,370,-
170,Amphisbaena persephone*,370,370,0,1,0,0,0,0,2000,Restricted,2014,-,370,-
171,Amphisbaena sanctaeritae,600,101,499,0.1683,0.0117,0.07,0.2967,0.0083,2010,Restricted,1994,CR,602,DD
172,Amphisbaena sanctaeritae,602,99,503,0.1645,0.0166,0.0498,0.392,0.0282,2020,Restricted,1994,CR,602,DD
173,Amphisbaena sanctaeritae,601,101,500,0.1681,0.015,0.0549,0.3877,0.0183,2015,Restricted,1994,CR,602,DD
174,Amphisbaena sanctaeritae,603,98,505,0.1625,0.0133,0.1144,0.2156,0.0116,2005,Restricted,1994,CR,602,DD
175,Amphisbaena sanctaeritae,603,91,512,0.1509,0.0133,0.1791,0.1592,0.01,2000,Restricted,1994,CR,602,DD
176,Amphisbaena saxosa,44,40,4,0.9091,0,0.0909,0,0,2015,Restricted,2003,NT,375,NT
177,Amphisbaena saxosa,44,41,3,0.9318,0,0.0682,0,0,2010,Restricted,2003,NT,375,NT
178,Amphisbaena saxosa,44,40,4,0.9091,0,0.0909,0,0,2020,Restricted,2003,NT,375,NT
179,Amphisbaena saxosa,44,41,3,0.9318,0,0.0682,0,0,2005,Restricted,2003,NT,375,NT
180,Amphisbaena saxosa,44,41,3,0.9318,0,0.0455,0,0,2000,Restricted,2003,NT,375,NT
181,Amphisbaena silvestrii,432222,231363,200859,0.5353,0.0033,0.2606,0.0018,0.1383,2020,Partial,1902,LC,895546,LC
182,Amphisbaena silvestrii,432220,233964,198256,0.5413,0.0031,0.2668,0.0017,0.1321,2015,Partial,1902,LC,895546,LC
183,Amphisbaena silvestrii,432222,242937,189285,0.5621,5.00E-04,0.269,1.00E-04,0.1088,2005,Partial,1902,LC,895546,LC
184,Amphisbaena silvestrii,432222,238348,193874,0.5514,0.0011,0.2725,4.00E-04,0.1126,2010,Partial,1902,LC,895546,LC
185,Amphisbaena silvestrii,432219,260313,171906,0.6023,3.00E-04,0.2533,0,0.0821,2000,Partial,1902,LC,895546,LC
