species,binomial,taxa,family,genus,species_author,author,year,time.slice,New,IUCN,rangesize,range.cat,areaClass,rangeNat_2020,percNat,percNatCat,prot_range,prot_perc,prot_perc_cat,rangeNat_2000,loss00_20,perc_loss00_20
Lygophis paucidens,Lygophis paucidens,Reptiles,Dipsadidae,Lygophis,"Lygophis paucidens (Hoge, 1953)","(Hoge, 1953)",1953,1900-1999,n,LC,36218,Partial,polygon,807705,0.5473,<80%,51135,0.0219,<5%,904410,96705,0.106926062
Lysapsus caraya,Lysapsus caraya,Amphibians,Hylidae,Lysapsus,"Lysapsus caraya Gallardo, 1964","Gallardo, 1964",1964,1900-1999,n,LC,1791497,Restricted,polygon,27590,0.847,>80%,7269,0.2007,>17%,28711,1121,0.039044269
Manciola guaporicola,Manciola guaporicola,Reptiles,Scincidae,Maciola,"Manciola guaporicola (Dunn, 1935)","(Dunn, 1935)",1935,1900-1999,n,LC,3451937,Partial,polygon,396033,0.426,<50%,27639,0.0154,<5%,439087,43054,0.098053461
Melanopareia torquata,Melanopareia torquata,Birds,Melanopareiidae,Melanopareia,"Melanopareia torquata (Wied, 1831)","(Wied, 1831)",1831,1700-1899,s,LC,1165723,Wide,polygon,913971,0.5088,<80%,58797,0.017,<5%,1017597,103626,0.101834027
Micrablepharus atticolus,Micrablepharus atticolus,Reptiles,Gymnophthalmidae,Micrablepharus,"Micrablepharus atticolus Rodrigues, 1996","Rodrigues, 1996",1996,1900-1999,n,LC,733,Partial,polygon,380022,0.4347,<50%,9664,0.0083,<1%,418853,38831,0.092707943
Microakodontomys transitorius,Microakodontomys transitorius,Mammals,Cricetidae,Microakodontomys,"Microakodontomys transitorius Hershkovitz, 1993","Hershkovitz, 1993",1993,1900-1999,s,EN,626550,Restricted,buffer,508,0.693,<80%,318,0.4338,>17%,517,9,0.017408124
Microspingus cinereus,Microspingus cinereus,Birds,Thraupidae,Microspingus,"Microspingus cinereus Bonaparte, 1850","Bonaparte, 1850",1850,1700-1899,s,LC,197935,Partial,polygon,305178,0.3784,<50%,13734,0.0127,<5%,331291,26113,0.078821942
Micrurus brasiliensis,Micrurus brasiliensis,Reptiles,Elapidae,Micrurus,"Micrurus brasiliensis Roze, 1967","Roze, 1967",1967,1900-1999,n,LC,3347924,Partial,polygon,342342,0.7054,<80%,28962,0.0462,<5%,385014,42672,0.110832333
Micrurus tricolor,Micrurus tricolor,Reptiles,Elapidae,Micrurus,"Micrurus tricolor Hoge, 1956","Hoge, 1956",1956,1900-1999,n,LC,734,Partial,polygon,26513,0.4686,<50%,1083,0.0055,<1%,28945,2432,0.08402142
Monodelphis kunsi,Monodelphis kunsi,Mammals,Didelphidae,Monodelphis,"Monodelphis kunsi Pine, 1975","Pine, 1975",1975,1900-1999,s,LC,1694948,Partial,polygon,604014,0.433,<50%,43365,0.013,<5%,668384,64370,0.096306913
Monodelphis sanctaerosae,Monodelphis sanctaerosae,Mammals,Didelphidae,Monodelphis,"Monodelphis sanctaerosae Voss et al., 2012","Voss et al., 2012",2012,2000-2021,s,-,4017704,Restricted,buffer,290,0.7859,<80%,0,0,0%,305,15,0.049180328
Myiothlypis leucophrys,Myiothlypis leucophrys,Birds,Parulidae,Myiothlypis,"Myiothlypis leucophrys (Pelzeln, 1868)","(Pelzeln, 1868)",1868,1700-1899,s,LC,1222422,Partial,polygon,572190,0.4424,<50%,27987,0.0165,<5%,636994,64804,0.101734082
Neothraupis fasciata,Neothraupis fasciata,Birds,Thraupidae,Neothraupis,"Neothraupis fasciata (Lichtenstein, 1823)","(Lichtenstein, 1823)",1823,1700-1899,s,NT,47687,Wide,polygon,932760,0.5118,<80%,72913,0.0181,<5%,1039613,106853,0.102781516
Nothura minor,Nothura minor,Birds,Tinamidae,Nothura,"Nothura minor (Spix, 1825)","(Spix, 1825)",1825,1700-1899,s,VU,263013,Partial,polygon,261373,0.3081,<50%,6810,0.0056,<1%,281814,20441,0.072533657
Nyctiprogne vielliardi,Nyctiprogne vielliardi,Birds,Caprimulgidae,Nyctiprogne,"Nyctiprogne vielliardi (Lencioni-Neto, 1994)","(Lencioni-Neto, 1994)",1994,1900-1999,s,LC,602779,Restricted,polygon,22173,0.6429,<80%,864,0.0181,<5%,23606,1433,0.060704906
Nystalus striatipectus,Nystalus striatipectus,Birds,Bucconidae,Nystalus,Nystalus striatipectus (Sclater 1854),(Sclater 1854),1854,1700-1899,s,-,43994,Partial,polygon,43668,0.2832,<30%,1112,0.0042,<1%,48573,4905,0.100982027
Odontophrynus cultripes,Odontophrynus cultripes,Amphibians,Odontophrynidae,Odontophrynus,"Odontophrynus cultripes Reinhardt & Lütken, 1862","Reinhardt & Lütken, 1862",1862,1700-1899,n,LC,358,Partial,polygon,144132,0.3068,<50%,5950,0.0099,<1%,152655,8523,0.055831778
Odontophrynus juquinha,Odontophrynus juquinha*,Amphibians,Odontophrynidae,Odontophrynus,Odontophrynus juquinha* Rocha et al. 2017,Rocha et al. 2017,2017,2000-2021,s,LC,833008,Restricted,polygon,18769,0.7003,<80%,3026,0.0688,<17%,19956,1187,0.059480858
Odontophrynus monachus,Odontophrynus monachus,Amphibians,Odontophrynidae,Odontophrynus,"Odontophrynus monachus Caramaschi & Napoli, 2012","Caramaschi & Napoli, 2012",2012,2000-2021,n,LC,297359,Restricted,buffer,161,0.451,<50%,186,0.5196,>17%,154,-7,-0.045454545
Oecomys cleberi,Oecomys cleberi,Mammals,Cricetidae,Oecomys,"Oecomys cleberi Locks, 1981","Locks, 1981",1981,1900-1999,s,DD,1470,Partial,polygon,201750,0.3215,<50%,4694,0.0056,<1%,221133,19383,0.087653132
Oligoryzomys moojeni,Oligoryzomys moojeni,Mammals,Cricetidae,Oligoryzomys,"Oligoryzomys moojeni Weksler & Bonvicino, 2005","Weksler & Bonvicino, 2005",2005,2000-2021,s,DD,1286,Partial,polygon,175394,0.6323,<80%,21823,0.0734,<17%,200570,25176,0.125522262
Oligoryzomys rupestris,Oligoryzomys rupestris,Mammals,Cricetidae,Oligoryzomys,"Oligoryzomys rupestris Weksler & Bonvicino, 2005","Weksler & Bonvicino, 2005",2005,2000-2021,s,DD,16557,Partial,buffer,472,0.9833,>80%,401,0.2728,>17%,472,0,0
Ololygon canastrensis,Ololygon canastrensis,Amphibians,Hylidae,Ololygon,"Scinax canastrensis (Cardoso & Haddad, 1982)","(Cardoso & Haddad, 1982)",1982,1900-1999,n,LC,11094,Restricted,polygon,8512,0.2896,<30%,1994,0.0668,<17%,8343,-169,-0.020256502
Ololygon centralis,Ololygon centralis,Amphibians,Hylidae,Ololygon,"Scinax centralis Pombal & Bastos, 1996","Pombal & Bastos, 1996",1996,1900-1999,n,LC,1067899,Restricted,polygon,3407,0.3073,<50%,48,0.0043,<1%,3710,303,0.081671159
Ololygon goya,Ololygon goya*,Amphibians,Hylidae,Ololygon,"Scinax goya* (Andrade et al., 2018)","(Andrade et al., 2018)",2018,2000-2021,s,DD,541,Restricted,buffer,216,0.587,<80%,0,0,0%,267,51,0.191011236
Ololygon machadoi,Ololygon machadoi,Amphibians,Hylidae,Ololygon,"Scinax machadoi (Bokermann & Sazima, 1973)","(Bokermann & Sazima, 1973)",1973,1900-1999,n,LC,9703,Restricted,polygon,11841,0.7728,<80%,1876,0.075,<17%,12444,603,0.048457088
Ololygon pombali,Ololygon pombali,Amphibians,Hylidae,Ololygon,"Scinax pombali Lourenço et al., 2013","Lourenço et al., 2013",2013,2000-2021,n,DD,153012,Restricted,buffer,469,0.5264,<80%,564,0.633,>17%,453,-16,-0.035320088
Ololygon skaios,Ololygon skaios,Amphibians,Hylidae,Ololygon,"Scinax skaios Pombal et al., 2010","Pombal et al., 2010",2010,2000-2021,n,LC,44500,Restricted,polygon,19687,0.5075,<80%,744,0.0192,<5%,21067,1380,0.065505293
Oreobates antrum,Oreobates antrum*,Amphibians,Craugastoridae,Oreobates,Oreobates antrum* Vaz-Lima et al. 2018,Vaz-Lima et al. 2018,2018,2000-2021,s,LC,933,Restricted,buffer,763,0.5938,<80%,24,0.0187,<5%,817,54,0.066095471
Oreobates heterodactylus,Oreobates heterodactylus,Amphibians,Craugastoridae,Oreobates,"Oreobates heterodactylus (Miranda-Ribeiro, 1937)","(Miranda-Ribeiro, 1937)",1937,1900-1999,n,LC,2415453,Restricted,polygon,10771,0.6514,<80%,524,0.0316,<5%,11872,1101,0.092739218
Oreobates remotus,Oreobates remotus,Amphibians,Craugastoridae,Oreobates,"Oreobates remotus Teixeira Jr. et al., 2012","Teixeira Jr. et al., 2012",2012,2000-2021,n,EN,1045,Restricted,buffer,775,0.8315,>80%,389,0.4169,>17%,806,31,0.038461538
Oxymycterus delator,Oxymycterus delator,Mammals,Cricetidae,Oxymycterus,"Oxymycterus delator Thomas, 1903","Thomas, 1903",1903,1900-1999,s,LC,83135,Wide,polygon,715046,0.4799,<50%,48077,0.0199,<5%,787419,72373,0.091911676
Oxymycterus itapeby,Oxymycterus itapeby,Mammals,Cricetidae,Oxymycterus,"Oxymycterus itapeby Peçanha et al., 2019","Peçanha et al., 2019",2019,2000-2021,s,-,1054646,Restricted,buffer,178,0.2977,<30%,0,0,0%,168,-10,-0.05952381
Paroaria baeri,Paroaria baeri,Birds,Thraupidae,Paroaria,"Paroaria baeri Hellmayr, 1907","Hellmayr, 1907",1907,1900-1999,s,LC,2109777,Partial,polygon,59668,0.739,<80%,9157,0.1101,<17%,64101,4433,0.069156487
Penelope ochrogaster,Penelope ochrogaster,Birds,Cracidae,Penelope,"Penelope ochrogaster Pelzeln, 1870","Pelzeln, 1870",1870,1700-1899,s,VU,368,Partial,polygon,437183,0.5245,<80%,24593,0.0233,<5%,486470,49287,0.1013156
Phaethornis nattereri,Phaethornis nattereri,Birds,Trochilidae,Phaethornis,"Phaethornis nattereri Berlepsch, 1887","Berlepsch, 1887",1887,1700-1899,s,LC,17642,Partial,polygon,571652,0.6594,<80%,42917,0.0203,<5%,646737,75085,0.116098198
Phalotris cerradensis,Phalotris cerradensis*,Reptiles,Dipsadidae,Phalotris,"Phalotris cerradensis* Silveira, 2020","Silveira, 2020",2020,2000-2021,s,-,49626,Restricted,buffer,291,0.7929,<80%,97,0.2636,>17%,357,66,0.18487395
Phalotris concolor,Phalotris concolor,Reptiles,Dipsadidae,Phalotris,"Phalotris concolor Ferrarezzi, 1994","Ferrarezzi, 1994",1994,1900-1999,n,DD,122868,Restricted,polygon,9640,0.6023,<80%,154,0.0087,<1%,10487,847,0.080766663
Phalotris labiomaculatus,Phalotris labiomaculatus,Reptiles,Dipsadidae,Phalotris,"Phalotris labiomaculatus Lema, 2002","Lema, 2002",2002,2000-2021,n,LC,841607,Restricted,polygon,39953,0.8711,>80%,1296,0.0261,<5%,43625,3672,0.08417192
Phalotris lativittatus,Phalotris lativittatus,Reptiles,Dipsadidae,Phalotris,"Phalotris lativittatus Ferrarezzi, 1994","Ferrarezzi, 1994",1994,1900-1999,n,NT,634842,Partial,polygon,10216,0.1792,<30%,261,0.0021,<1%,9690,-526,-0.054282766
Phalotris matogrossensis,Phalotris matogrossensis,Reptiles,Dipsadidae,Phalotris,"Phalotris matogrossensis Lema et al., 2005","Lema et al., 2005",2005,2000-2021,n,LC,1055,Partial,polygon,129725,0.279,<30%,4806,0.0057,<1%,140660,10935,0.077740651
Phalotris mertensi,Phalotris mertensi,Reptiles,Dipsadidae,Phalotris,"Phalotris mertensi (Hoge, 1955)","(Hoge, 1955)",1955,1900-1999,n,LC,1511881,Partial,polygon,67590,0.2033,<30%,2693,0.0042,<1%,68574,984,0.014349462
Phalotris multipunctatus,Phalotris multipunctatus,Reptiles,Dipsadidae,Phalotris,"Phalotris multipunctatus Puorto & Ferrarezzi, 1994","Puorto & Ferrarezzi, 1994",1994,1900-1999,n,EN,11924,Partial,buffer,103,0.1461,<30%,8,0.0076,<1%,103,0,0
Phalotris nasutus,Phalotris nasutus,Reptiles,Dipsadidae,Phalotris,"Phalotris nasutus (Gomes, 1915)","(Gomes, 1915)",1915,1900-1999,n,LC,388737,Partial,polygon,386080,0.4018,<50%,8774,0.0058,<1%,426438,40358,0.094639784
Phasmahyla jandaia,Phasmahyla jandaia,Amphibians,Phyllomedusidae,Phasmahyla,"Phasmahyla jandaia (Bokermann & Sazima, 1978)","(Bokermann & Sazima, 1978)",1978,1900-1999,n,LC,724317,Restricted,polygon,2359,0.6377,<80%,425,0.0356,<5%,2469,110,0.04455245
Philodryas livida,Philodryas livida,Reptiles,Dipsadidae,Philodryas,"Philodryas livida (Amaral, 1923)","(Amaral, 1923)",1923,1900-1999,n,VU,750210,Partial,polygon,52225,0.2241,<30%,1995,0.0051,<1%,56365,4140,0.073449836
Philodryas mattogrossensis,Philodryas mattogrossensis,Reptiles,Dipsadidae,Philodryas,"Philodryas mattogrossensis Koslowsky, 1898","Koslowsky, 1898",1898,1700-1899,n,LC,2411,Partial,polygon,88960,0.2491,<30%,4421,0.0061,<1%,95138,6178,0.064937249
Phyllomyias reiseri,Phyllomyias reiseri,Birds,Tyrannidae,Phyllomyias,"Phyllomyias reiseri Hellmayr, 1905","Hellmayr, 1905",1905,1900-1999,s,LC,1334,Partial,polygon,295224,0.4358,<50%,17866,0.0238,<5%,331300,36076,0.108892243
Phyllomys brasiliensis,Phyllomys brasiliensis,Mammals,Echimyidae,Phyllomys,"Phyllomys brasiliensis Lund, 1840","Lund, 1840",1840,1700-1899,s,EN,240589,Restricted,polygon,903,0.3747,<50%,107,0.0444,<5%,879,-24,-0.027303754
Phyllomys centralis,Phyllomys centralis,Mammals,Echimyidae,Phyllomys,"Phyllomys centralis Machado et al., 2018","Machado et al., 2018",2018,2000-2021,s,-,583,Restricted,buffer,592,0.4441,<50%,57,0.0427,<5%,633,41,0.064770932
Phylloscartes roquettei,Phylloscartes roquettei,Birds,Rhynchocyclidae,Phylloscartes,"Phylloscartes roquettei Snethlage, 1928","Snethlage, 1928",1928,1900-1999,s,EN,1826841,Partial,polygon,106492,0.5931,<80%,7195,0.0299,<5%,114474,7982,0.069727624
Physalaemus atim,Physalaemus atim*,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus atim* Brasileiro & Haddad, 2015","Brasileiro & Haddad, 2015",2015,2000-2021,s,LC,360,Restricted,polygon,132,0.226,<30%,5,0.0086,<1%,131,-1,-0.007633588
Physalaemus centralis,Physalaemus centralis,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus centralis Bokermann, 1962","Bokermann, 1962",1962,1900-1999,n,LC,2352,Wide,polygon,596555,0.4776,<50%,39992,0.0219,<5%,663858,67303,0.101381621
Physalaemus claptoni,Physalaemus claptoni*,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus claptoni*  Leal et al., 2020","Leal et al., 2020",2020,2000-2021,s,DD,5445,Restricted,buffer,304,0.8421,>80%,57,0.1583,<17%,305,1,0.003278689
Physalaemus deimaticus,Physalaemus deimaticus,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus deimaticus Sazima & Caramaschi, 1988","Sazima & Caramaschi, 1988",1988,1900-1999,n,LC,1228199,Restricted,polygon,1831,0.7791,<80%,104,0.0442,<5%,1859,28,0.015061861
Physalaemus evangelistai,Physalaemus evangelistai,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus evangelistai Bokermann, 1967","Bokermann, 1967",1967,1900-1999,n,NT,1987481,Restricted,polygon,3874,0.7112,<80%,474,0.0871,<17%,3955,81,0.020480405
Physalaemus marmoratus,Physalaemus marmoratus,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus marmoratus (Reinhardt & Lütken, 1862)","(Reinhardt & Lütken, 1862)",1862,1700-1899,n,LC,1108,Partial,polygon,337897,0.361,<50%,16089,0.0131,<5%,368155,30258,0.082188209
Physalaemus nattereri,Physalaemus nattereri,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus nattereri (Steindachner, 1863)","(Steindachner, 1863)",1863,1700-1899,n,LC,72110,Wide,polygon,663446,0.4657,<50%,41283,0.0208,<5%,741061,77615,0.104734968
Pithecopus araguaius,Pithecopus araguaius*,Amphibians,Phyllomedusidae,Pithecopus,Pithecopus araguaius* Haga et al. 2017,Haga et al. 2017,2017,2000-2021,s,LC,2392121,Partial,buffer,656,0.5921,<80%,98,0.0884,<17%,665,9,0.013533835
Pithecopus ayeaye,Pithecopus ayeaye,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus ayeaye Lutz, 1966","Lutz, 1966",1966,1900-1999,n,LC,105166,Partial,polygon,8897,0.3013,<50%,2091,0.029,<5%,8684,-213,-0.024527867
Pithecopus azureus,Pithecopus azureus,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus azureus (Cope, 1862)","(Cope, 1862)",1862,1700-1899,n,LC,53181,Partial,polygon,849310,0.5317,<80%,53593,0.0224,<5%,950984,101674,0.106914522
Pithecopus centralis,Pithecopus centralis,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus centralis (Bokermann, 1965)","(Bokermann, 1965)",1965,1900-1999,n,VU,82568,Partial,polygon,30253,0.4749,<50%,581,0.0055,<1%,33301,3048,0.091528783
Pithecopus megacephalus,Pithecopus megacephalus,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus megacephalus (Miranda-Ribeiro, 1926)","(Miranda-Ribeiro, 1926)",1926,1900-1999,n,LC,359,Restricted,polygon,20157,0.656,<80%,3718,0.0699,<17%,21335,1178,0.055214436
Pithecopus oreades,Pithecopus oreades,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus oreades (Brandão, 2002)","(Brandão, 2002)",2002,2000-2021,n,LC,442086,Partial,polygon,37135,0.4495,<50%,1701,0.0206,<5%,40787,3652,0.089538333
Placosoma cipoense,Placosoma cipoense,Reptiles,Gymnophthalmidae,Placosoma,"Placosoma cipoense Cunha, 1966","Cunha, 1966",1966,1900-1999,n,EN,1081620,Restricted,buffer,241,0.9129,>80%,224,0.624,>17%,237,-4,-0.016877637
Polystictus superciliaris,Polystictus superciliaris,Birds,Tyrannidae,Polystictus,"Polystictus superciliaris (Wied, 1831)","(Wied, 1831)",1831,1700-1899,s,LC,3175252,Partial,polygon,75493,0.4524,<50%,6555,0.0148,<5%,79076,3583,0.04531084
Porphyrospiza caerulescens,Porphyrospiza caerulescens,Birds,Thraupidae,Porphyrospiza,"Porphyrospiza caerulescens (Wied, 1830)","(Wied, 1830)",1830,1700-1899,s,NT,113765,Wide,polygon,899222,0.5506,<80%,74553,0.0235,<5%,1001974,102752,0.102549567
Pristimantis dundeei,Pristimantis dundeei,Amphibians,Craugastoridae,Pristimantis,"Pristimantis dundeei (Heyer & Muñoz, 1999)","(Heyer & Muñoz, 1999)",1999,1900-1999,n,LC,29032,Partial,polygon,40964,0.3646,<50%,1843,0.0162,<5%,44955,3991,0.088777667
Pristimantis moa,Pristimantis moa*,Amphibians,Craugastoridae,Pristimantis,"Pristimantis moa* Oliveira et al., 2020","Oliveira et al., 2020",2020,2000-2021,s,LC,13038,Restricted,polygon,21542,0.7913,<80%,380,0.0131,<5%,25107,3565,0.141992273
Pristimantis ventrigranulosus,Pristimantis ventrigranulosus,Amphibians,Craugastoridae,Pristimantis,"Pristimantis ventrigranulosus Maciel et al., 2012","Maciel et al., 2012",2012,2000-2021,n,-,926,Restricted,polygon,4628,0.3555,<50%,0,0,0%,5499,871,0.158392435
Proceratophrys bagnoi,Proceratophrys bagnoi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys bagnoi Brandão et al., 2013","Brandão et al., 2013",2013,2000-2021,n,EN,151905,Restricted,buffer,728,0.787,<80%,0,0,0%,787,59,0.074968234
Proceratophrys branti,Proceratophrys branti,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys branti Brandão et al., 2013","Brandão et al., 2013",2013,2000-2021,n,LC,363,Partial,polygon,108842,0.7457,<80%,12781,0.0841,<17%,119772,10930,0.091256721
Proceratophrys carranca,Proceratophrys carranca,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys carranca Godinho et al., 2013","Godinho et al., 2013",2013,2000-2021,n,VU,2291,Restricted,buffer,174,0.4807,<50%,0,0,0%,178,4,0.02247191
Proceratophrys cururu,Proceratophrys cururu,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys cururu Eterovick & Sazima, 1998","Eterovick & Sazima, 1998",1998,1900-1999,n,VU,66603,Restricted,polygon,1813,0.7893,<80%,426,0.1859,>17%,1840,27,0.014673913
Proceratophrys dibernardoi,Proceratophrys dibernardoi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys dibernardoi Brandão et al., 2013","Brandão et al., 2013",2013,2000-2021,n,LC,100782,Partial,polygon,19043,0.2861,<30%,1647,0.0247,<5%,20815,1772,0.085130915
Proceratophrys goyana,Proceratophrys goyana,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys goyana (Miranda-Ribeiro, 1937)","(Miranda-Ribeiro, 1937)",1937,1900-1999,n,LC,1102,Partial,polygon,60672,0.6104,<80%,2507,0.0249,<5%,65281,4609,0.070602472
Proceratophrys huntingtoni,Proceratophrys huntingtoni,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys huntingtoni Ávila et al., 2012","Ávila et al., 2012",2012,2000-2021,n,VU,226403,Restricted,buffer,694,0.7495,<80%,0,0,0%,759,65,0.085638999
Proceratophrys moratoi,Proceratophrys moratoi,Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys moratoi (Jim & Caramaschi 1980),(Jim & Caramaschi 1980),1980,1900-1999,n,LC,376,Partial,polygon,34847,0.1986,<30%,1027,0.0045,<1%,35509,662,0.018643161
Proceratophrys rotundipalpebra,Proceratophrys rotundipalpebra,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys rotundipalpebra Martins & Giaretta, 2013","Martins & Giaretta, 2013",2013,2000-2021,n,NT,28016,Restricted,polygon,369,0.9762,>80%,252,0.6702,>17%,366,-3,-0.008196721
Proceratophrys salvatori,Proceratophrys salvatori,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys salvatori (Caramaschi, 1996)","(Caramaschi, 1996)",1996,1900-1999,n,LC,236,Restricted,polygon,13201,0.4705,<50%,731,0.0261,<5%,14359,1158,0.080646285
Proceratophrys strussmannae,Proceratophrys strussmannae,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys strussmannae Ávila et al., 2011","Ávila et al., 2011",2011,2000-2021,n,LC,21126,Restricted,polygon,88,0.3745,<50%,0,0,0%,86,-2,-0.023255814
Proceratophrys vielliardi,Proceratophrys vielliardi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys vielliardi Martins & Giaretta, 2011","Martins & Giaretta, 2011",2011,2000-2021,n,LC,304291,Restricted,polygon,7578,0.358,<50%,242,0.0115,<5%,9080,1502,0.165418502
Pseudis tocantins,Pseudis tocantins,Amphibians,Hylidae,Pseudis,"Pseudis tocantins Caramaschi & Cruz, 1998","Caramaschi & Cruz, 1998",1998,1900-1999,n,LC,12616,Partial,polygon,170652,0.6766,<80%,11099,0.0365,<5%,190485,19833,0.104118435
Pseudopaludicola atragula,Pseudopaludicola atragula*,Amphibians,Leptodactylidae,Pseudopaludicola,Pseudopaludicola atragula* Pansonato et al. 2014,Pansonato et al. 2014,2014,2000-2021,s,LC,731,Restricted,polygon,1934,0.1539,<30%,0,0,0%,1764,-170,-0.096371882
Pseudopaludicola coracoralinae,Pseudopaludicola coracoralinae*,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola coracoralinae* Andrade et al., 2020","Andrade et al., 2020",2020,2000-2021,s,LC,64702,Restricted,buffer,125,0.1712,<30%,0,0,0%,117,-8,-0.068376068
Pseudopaludicola facureae,Pseudopaludicola facureae*,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola facureae* Andrade & Carvalho, 2013","Andrade & Carvalho, 2013",2013,2000-2021,s,LC,726,Partial,polygon,8031,0.1732,<30%,158,0.0024,<1%,8199,168,0.020490304
Pseudopaludicola ibisoroca,Pseudopaludicola ibisoroca*,Amphibians,Leptodactylidae,Pseudopaludicola,Pseudopaludicola ibisoroca* Pansonato et al. 2016,Pansonato et al. 2016,2016,2000-2021,s,VU,409,Restricted,buffer,227,0.3127,<50%,0,0,0%,235,8,0.034042553
Pseudopaludicola jazmynmcdonaldae,Pseudopaludicola jazmynmcdonaldae*,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola jazmynmcdonaldae* Andrade et al., 2019","Andrade et al., 2019",2019,2000-2021,s,EN,722,Restricted,buffer,308,0.7531,<80%,184,0.4499,>17%,301,-7,-0.023255814
Pseudopaludicola mineira,Pseudopaludicola mineira*,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola mineira* Lobo, 1994","Lobo, 1994",1994,1900-1999,s,LC,1068878,Restricted,buffer,611,0.8474,>80%,364,0.5042,>17%,607,-4,-0.006589786
Pseudopaludicola ternetzi,Pseudopaludicola ternetzi*,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola ternetzi* Miranda-Ribeiro, 1937","Miranda-Ribeiro, 1937",1937,1900-1999,s,LC,737,Partial,polygon,374343,0.4312,<50%,15763,0.0147,<5%,414362,40019,0.096579802
Psilops seductus,Psilops seductus*,Reptiles,Gymnophthalmidae,Psilops,"Psilops seductus* Rodrigues et al., 2017","Rodrigues et al., 2017",2017,2000-2021,s,-,13772,Restricted,buffer,572,0.7761,<80%,314,0.4261,>17%,734,162,0.220708447
Pyrrhura pfrimeri,Pyrrhura pfrimeri,Birds,Psittacidae ,Pyrrhura,"Pyrrhura pfrimeri Miranda-Ribeiro, 1920","Miranda-Ribeiro, 1920",1920,1900-1999,s,EN,1521523,Restricted,polygon,7463,0.5413,<80%,557,0.0404,<5%,8738,1275,0.145914397
Rhachidelus brazili,Rhachidelus brazili,Reptiles,Dipsadidae,Rhachidelus,"Rhachidelus brazili Boulenger, 1908","Boulenger, 1908",1908,1900-1999,n,LC,28584,Partial,polygon,262258,0.3072,<50%,8198,0.0054,<1%,283199,20941,0.07394447
Rhachisaurus brachylepis,Rhachisaurus brachylepis,Reptiles,Gymnophthalmidae,Rhachisaurus,"Rhachisaurus brachylepis (Dixon, 1974)","(Dixon, 1974)",1974,1900-1999,n,DD,611704,Restricted,polygon,12568,0.6361,<80%,2306,0.0807,<17%,13244,676,0.051041981
Rhinella cerradensis,Rhinella cerradensis,Amphibians,Bufonidae,Rhinella,"Rhinella cerradensis Maciel et al., 2007","Maciel et al., 2007",2007,2000-2021,n,LC,54769,Partial,polygon,234780,0.4137,<50%,12574,0.0206,<5%,266877,32097,0.120268888
Rhinella inopina,Rhinella inopina,Amphibians,Bufonidae,Rhinella,"Rhinella inopina Vaz-Silva et al., 2012","Vaz-Silva et al., 2012",2012,2000-2021,n,LC,1659819,Restricted,polygon,39536,0.7437,<80%,2607,0.0476,<5%,46643,7107,0.152370131
Rhinella ocellata,Rhinella ocellata,Amphibians,Bufonidae,Rhinella,"Rhinella ocellata (Günther, 1858)","(Günther, 1858)",1858,1700-1899,n,LC,724425,Partial,polygon,554090,0.551,<80%,31130,0.0188,<5%,618775,64685,0.10453719
Rhinella rubescens,Rhinella rubescens,Amphibians,Bufonidae,Rhinella,"Rhinella rubescens (Lutz, 1925)","(Lutz, 1925)",1925,1900-1999,n,LC,77788,Partial,polygon,214622,0.3913,<50%,13409,0.0185,<5%,229793,15171,0.066020288
Rhinella scitula,Rhinella scitula,Amphibians,Bufonidae,Rhinella,"Rhinella scitula (Caramaschi & Niemeyer, 2003)","(Caramaschi & Niemeyer, 2003)",2003,2000-2021,n,LC,14562,Partial,polygon,18517,0.3635,<50%,1865,0.024,<5%,20267,1750,0.086347264
