species,rangesize
Tropidurus oreadicus,"2773708"
Tupinambis matipu*,"701967"
Tupinambis quadrilineatus,"1572963"
Uropelia campestris,"4642794"
Trilepida koppesi,"558325"
Trinomys moojeni,"1403"
Tropidurus itambere,"1456252"
Tropidurus montanus,"84788"
Vanzosaura savanicola*,"112323"
Xenodon matogrossensis,"213601"
Xenodon nattereri,"1984447"
Pithecopus centralis,"105166"
Pithecopus megacephalus,"53181"
Pithecopus oreades,"82568"
Polystictus superciliaris,"442086"
Physalaemus marmoratus,"1228199"
Physalaemus nattereri,"1987481"
Pithecopus ayeaye,"72110"
Pithecopus azureus,"2392121"
Pristimantis ventrigranulosus,"13038"
Proceratophrys branti,"151905"
Proceratophrys dibernardoi,"66603"
Microspingus cinereus,"1081620"
Porphyrospiza caerulescens,"3175252"
Pristimantis dundeei,"113765"
Pristimantis moa*,"29032"
