species,rangesize,area,code,area_total_i-iv,protected_range,prot_perc
Cercomacra ferdinandi,"269082","5493","1","49667","9496",0.0353
Cerradomys marinhus,"291448","5493","1","49667","7883",0.0270
Cerradomys scotti,"2281453","5493","1","49667","36462",0.0160
Callithrix penicillata,"1301874","5493","1","49667","19265",0.0148
Calomys tocantinsi,"155446","5493","1","49667","9150",0.0589
Carterodon sulcidens,"1099681","5493","1","49667","5459",0.0050
Clibanornis rectirostris,"1678654","5493","1","49667","17743",0.0106
Clyomys laticeps,"1373496","5493","1","49667","12841",0.0093
Coleodactylus brachystoma,"477642","5493","1","49667","19979",0.0418
Colobosaura modesta,"3352590","5493","1","49667","42974",0.0128
Charitospiza eucosma,"3270074","5493","1","49667","47996",0.0147
Chiasmocleis albopunctata,"2062226","5493","1","49667","39520",0.0192
Chironius brazili*,"1108760","5493","1","49667","7128",0.0064
Cinclodes espinhacensis,"2941","5493","1","49667","340",0.1156
Ctenomys nattereri,"195476","5493","1","49667","1213",0.0062
Cyanocorax cristatellus,"4033939","5493","1","49667","49634",0.0123
Dendropsophus anataliasiasi,"400550","5493","1","49667","10396",0.0260
Conothraupis mesoleuca,"144734","5493","1","49667","1853",0.0128
Coryphaspiza melanotis,"3576856","5493","1","49667","45357",0.0127
Crossodactylus trachystomus,"33530","5493","1","49667","1218",0.0363
Ctenomys bicolor,"108826","5493","1","49667","5",0.0000
Drymoluber brazili,"3738607","5493","1","49667","45806",0.0123
Elachistocleis matogrosso,"158207","5493","1","49667","923",0.0058
Embernagra longicauda,"218284","5493","1","49667","2338",0.0107
Enyalius capetinga*,"2536","5493","1","49667","439",0.1731
Dendropsophus cruzi,"944655","5493","1","49667","24929",0.0264
Dendropsophus elianeae,"980367","5493","1","49667","6402",0.0065
Dendropsophus jimi,"828098","5493","1","49667","4962",0.0060
Dendropsophus rubicundulus,"1479361","5493","1","49667","35172",0.0238
Euryoryzomys lamia,"45977","5493","1","49667","731",0.0159
Euscarthmus rufomarginatus,"3904841","5493","1","49667","44088",0.0113
Galea flavidens,"1324021","5493","1","49667","38561",0.0291
Geositta poeciloptera,"1987612","5493","1","49667","18783",0.0095
Epicrates crassus,"4378535","5493","1","49667","48464",0.0111
Epictia clinorostris*,"28685","5493","1","49667","110",0.0038
Erythrolamprus maryellenae,"1096089","5493","1","49667","21802",0.0199
Eurolophosaurus nanuzae,"21992","5493","1","49667","334",0.0152
Pithecopus araguaius*,"1108","5493","1","49667","98",0.0884
Microakodontomys transitorius,"733","5493","1","49667","318",0.4338
Apostolepis christineae,"367","5493","1","49667","134",0.3651
Odontophrynus monachus,"358","5493","1","49667","186",0.5196
Cerradomys akroai,"748","5493","1","49667","275",0.3676
Ameivula jalapensis,"745","5493","1","49667","98",0.1315
Ameivula mumbuca,"747","5493","1","49667","130",0.1740
Amphisbaena neglecta,"367","5493","1","49667","5",0.0136
Apostolepis lineata,"367","5493","1","49667","0",0.0000
Scinax pombali,"891","5493","1","49667","564",0.6330
Columbina cyanopis,"2172","5493","1","49667","264",0.1215
