"species","X","latitude","longitude","year","icmbio.cat"
"Alipiopsitta xanthops",181,-20.9667,-56.5,1824,"LC"
"Alipiopsitta xanthops",182,-21.1215,-56.4825,1824,"LC"
"Alipiopsitta xanthops",183,-21.2565,-52.0374,1824,"LC"
"Alipiopsitta xanthops",184,-17.0105,-46.0094,1824,"LC"
"Alipiopsitta xanthops",185,-15.7805,-47.9304,1824,"LC"
"Alipiopsitta xanthops",186,-15.2415,-51.1614,1824,"LC"
"Alipiopsitta xanthops",187,-15.6333,-46.4167,1824,"LC"
"Alipiopsitta xanthops",188,-17.3515,-44.9624,1824,"LC"
"Alipiopsitta xanthops",189,-14.3333,-55.9333,1824,"LC"
"Alipiopsitta xanthops",190,-17.7445,-48.6264,1824,"LC"
"Alipiopsitta xanthops",191,-14.3145,-49.1524,1824,"LC"
"Alipiopsitta xanthops",192,-17.6395,-47.7824,1824,"LC"
"Alipiopsitta xanthops",193,-20.4435,-54.6465,1824,"LC"
"Alipiopsitta xanthops",194,-19.0015,-46.3164,1824,"LC"
"Alipiopsitta xanthops",195,-18.5765,-47.8774,1824,"LC"
"Alipiopsitta xanthops",196,-9.2667,-49.7833,1824,"LC"
"Alipiopsitta xanthops",197,-20.5835,-46.9224,1824,"LC"
"Alipiopsitta xanthops",198,-18.1705,-47.9424,1824,"LC"
"Alipiopsitta xanthops",199,-13.7985,-47.4584,1824,"LC"
"Alipiopsitta xanthops",200,-12.6,-48.1,1824,"LC"
"Alipiopsitta xanthops",201,-12.1833,-46.8,1824,"LC"
"Alipiopsitta xanthops",202,-15.4615,-55.7505,1824,"LC"
"Alipiopsitta xanthops",203,-14.1167,-47.5167,1824,"LC"
"Alipiopsitta xanthops",204,-15.3065,-45.6184,1824,"LC"
"Alipiopsitta xanthops",205,-18.4085,-52.5494,1824,"LC"
"Alipiopsitta xanthops",206,-14.3975,-50.9964,1824,"LC"
"Alipiopsitta xanthops",207,-14.3833,-51,1824,"LC"
"Alipiopsitta xanthops",208,-15.7945,-48.7764,1824,"LC"
"Alipiopsitta xanthops",209,-14.1845,-44.5344,1824,"LC"
"Alipiopsitta xanthops",210,-19.8325,-54.8295,1824,"LC"
"Alipiopsitta xanthops",211,-18.4667,-47.2167,1824,"LC"
"Alipiopsitta xanthops",212,-18.4735,-47.2004,1824,"LC"
"Alipiopsitta xanthops",213,-19.8245,-45.9044,1824,"LC"
"Alipiopsitta xanthops",214,-14.5,-49.1667,1824,"LC"
"Alipiopsitta xanthops",215,-17.3833,-44.8,1824,"LC"
"Alipiopsitta xanthops",216,-14.4167,-56.05,1824,"LC"
"Alipiopsitta xanthops",217,-19.0095,-57.6535,1824,"LC"
"Alipiopsitta xanthops",218,-18.5445,-53.1295,1824,"LC"
"Alipiopsitta xanthops",219,-18.5,-54.75,1824,"LC"
"Alipiopsitta xanthops",220,-18.5075,-54.7605,1824,"LC"
"Alipiopsitta xanthops",221,-18.2167,-54.6667,1824,"LC"
"Alipiopsitta xanthops",222,-16.7695,-47.6144,1824,"LC"
"Alipiopsitta xanthops",223,-15.5833,-56.0833,1824,"LC"
"Alipiopsitta xanthops",224,-18.7565,-44.4314,1824,"LC"
"Alipiopsitta xanthops",225,-18.1535,-47.5624,1824,"LC"
"Alipiopsitta xanthops",226,-20.3445,-46.8544,1824,"LC"
"Alipiopsitta xanthops",227,-11.7,-46.7333,1824,"LC"
"Alipiopsitta xanthops",228,-9.8005,-49.2144,1824,"LC"
"Alipiopsitta xanthops",229,-16.6525,-46.2714,1824,"LC"
"Alipiopsitta xanthops",230,-18.4315,-47.6094,1824,"LC"
"Alipiopsitta xanthops",231,-22.2215,-54.8065,1824,"LC"
"Alipiopsitta xanthops",232,-19.2,-47.1333,1824,"LC"
"Alipiopsitta xanthops",233,-15.5333,-47.6167,1824,"LC"
"Alipiopsitta xanthops",234,-15.7833,-47.9167,1824,"LC"
"Alipiopsitta xanthops",235,-6.55,-47.4333,1824,"LC"
"Alipiopsitta xanthops",236,-15.95,-47.9333,1824,"LC"
"Alipiopsitta xanthops",237,-15.9833,-55.9167,1824,"LC"
"Alipiopsitta xanthops",238,-17.0667,-45.9,1824,"LC"
"Alipiopsitta xanthops",239,-21.45,-56.4333,1824,"LC"
"Alipiopsitta xanthops",240,-21.1,-56.2167,1824,"LC"
"Alipiopsitta xanthops",241,-16.25,-57.55,1824,"LC"
"Alipiopsitta xanthops",242,-18.4667,-57.3667,1824,"LC"
"Alipiopsitta xanthops",243,-18.9833,-56.65,1824,"LC"
"Alipiopsitta xanthops",244,-19.5833,-56.15,1824,"LC"
"Alipiopsitta xanthops",245,-15.8333,-46.5,1824,"LC"
"Alipiopsitta xanthops",246,-11.3,-48.9333,1824,"LC"
"Alipiopsitta xanthops",247,-15.9,-51.4,1824,"LC"
"Alipiopsitta xanthops",248,-14.4495,-47.0504,1824,"LC"
"Alipiopsitta xanthops",249,-15.5375,-47.3344,1824,"LC"
"Alipiopsitta xanthops",250,-14.9333,-46.2167,1824,"LC"
"Alipiopsitta xanthops",251,-11.7975,-49.5294,1824,"LC"
"Alipiopsitta xanthops",252,-17.4833,-47.3333,1824,"LC"
"Alipiopsitta xanthops",253,-17.5667,-47.1333,1824,"LC"
"Alipiopsitta xanthops",254,-19.8667,-47.8833,1824,"LC"
"Alipiopsitta xanthops",255,-20.5395,-47.4014,1824,"LC"
"Alipiopsitta xanthops",256,-22.4185,-54.2335,1824,"LC"
"Alipiopsitta xanthops",257,-16.6667,-49.2667,1824,"LC"
"Alipiopsitta xanthops",258,-8.7765,-48.9324,1824,"LC"
"Alipiopsitta xanthops",259,-18.8445,-46.7934,1824,"LC"
"Alipiopsitta xanthops",260,-16.3495,-53.7584,1824,"LC"
"Alipiopsitta xanthops",261,-19.4785,-46.5394,1824,"LC"
"Alipiopsitta xanthops",262,-20.4625,-47.1224,1824,"LC"
"Alipiopsitta xanthops",263,-20.4335,-51.3434,1824,"LC"
"Alipiopsitta xanthops",264,-19.7265,-51.9305,1824,"LC"
"Alipiopsitta xanthops",265,-17.0655,-43.3094,1824,"LC"
"Alipiopsitta xanthops",266,-15.0833,-44.1167,1824,"LC"
"Alipiopsitta xanthops",267,-20.6667,-51.5167,1824,"LC"
"Alipiopsitta xanthops",268,-17.2095,-54.1505,1824,"LC"
"Alipiopsitta xanthops",269,-22.3055,-53.8155,1824,"LC"
"Alipiopsitta xanthops",270,-13.6195,-44.4334,1824,"LC"
"Alipiopsitta xanthops",271,-15.9833,-55.0333,1824,"LC"
"Alipiopsitta xanthops",272,-15.9655,-54.9685,1824,"LC"
"Alipiopsitta xanthops",273,-21.4805,-56.1385,1824,"LC"
"Alipiopsitta xanthops",274,-17.8815,-51.7144,1824,"LC"
"Alipiopsitta xanthops",275,-17.75,-46.1667,1824,"LC"
"Alipiopsitta xanthops",276,-17.7435,-46.1734,1824,"LC"
"Alipiopsitta xanthops",277,-21.5155,-51.4344,1824,"LC"
"Alipiopsitta xanthops",278,-10.7945,-49.6244,1824,"LC"
"Alipiopsitta xanthops",279,-18.7795,-46.4084,1824,"LC"
"Alipiopsitta xanthops",280,-17.8355,-46.5144,1824,"LC"
"Alipiopsitta xanthops",281,-6.5833,-43.6167,1824,"LC"
"Alipiopsitta xanthops",282,-9.7965,-49.6544,1824,"LC"
"Alipiopsitta xanthops",283,-10.5167,-46.1,1824,"LC"
"Alipiopsitta xanthops",284,-10.5485,-46.4214,1824,"LC"
"Alipiopsitta xanthops",285,-15.4445,-50.7464,1824,"LC"
"Alipiopsitta xanthops",286,-19.9965,-46.2264,1824,"LC"
"Alipiopsitta xanthops",287,-17.5695,-52.5514,1824,"LC"
"Alipiopsitta xanthops",288,-18.7255,-47.4994,1824,"LC"
"Alipiopsitta xanthops",289,-21.2995,-51.5695,1824,"LC"
"Alipiopsitta xanthops",290,-10.7628,-48.1089,1824,"LC"
"Alipiopsitta xanthops",291,-17.4445,-51.1754,1824,"LC"
"Alipiopsitta xanthops",292,-21.1355,-55.8305,1824,"LC"
"Alipiopsitta xanthops",293,-14.4745,-48.4604,1824,"LC"
"Alipiopsitta xanthops",294,-21.4665,-54.3845,1824,"LC"
"Alipiopsitta xanthops",295,-22.2335,-53.3435,1824,"LC"
"Alipiopsitta xanthops",296,-14.0995,-50.3274,1824,"LC"
"Alipiopsitta xanthops",297,-19.1365,-47.6834,1824,"LC"
"Alipiopsitta xanthops",298,-19.1333,-47.6833,1824,"LC"
"Alipiopsitta xanthops",299,-14.6735,-52.3534,1824,"LC"
"Alipiopsitta xanthops",300,-12.2905,-50.9684,1824,"LC"
"Alipiopsitta xanthops",301,-14.9065,-53.0184,1824,"LC"
"Alipiopsitta xanthops",302,-20.6833,-44.8167,1824,"LC"
"Alipiopsitta xanthops",303,-18.2345,-47.8394,1824,"LC"
"Alipiopsitta xanthops",304,-10.1675,-48.3334,1824,"LC"
"Alipiopsitta xanthops",305,-7.8605,-47.9264,1824,"LC"
"Alipiopsitta xanthops",306,-21.3565,-51.8605,1824,"LC"
"Alipiopsitta xanthops",307,-17.2225,-46.8754,1824,"LC"
"Alipiopsitta xanthops",308,-14.4325,-54.0514,1824,"LC"
"Alipiopsitta xanthops",309,-10.2167,-44.6333,1824,"LC"
"Alipiopsitta xanthops",310,-18.1,-53.3,1824,"LC"
"Alipiopsitta xanthops",311,-10.4667,-46.3167,1824,"LC"
"Alipiopsitta xanthops",312,-20.3833,-54.5833,1824,"LC"
"Alipiopsitta xanthops",313,-19.2,-48.1333,1824,"LC"
"Alipiopsitta xanthops",314,-18,-52.75,1824,"LC"
"Alipiopsitta xanthops",315,-10,-45.8,1824,"LC"
"Alipiopsitta xanthops",316,-15.7167,-47.95,1824,"LC"
"Alipiopsitta xanthops",317,-15.35,-45.8333,1824,"LC"
"Alipiopsitta xanthops",318,-18.5795,-46.5184,1824,"LC"
"Alipiopsitta xanthops",319,-18.9445,-46.9934,1824,"LC"
"Alipiopsitta xanthops",320,-20.2575,-47.4774,1824,"LC"
"Alipiopsitta xanthops",321,-18.1015,-54.5525,1824,"LC"
