species,rangesize,NAME,DESIG,DESIG_ENG,IUCN_CAT,STATUS_YR,GOV_TYPE,SUB_LOC,area
Saltatricula atricollis,"4504410",Parque Estadual Serra Ricardo Franco,Parque,Park,II,"1997",Sub-national ministry or agency,BR-MT,1578.306
Saltatricula atricollis,"4504410",Parque Nacional Serra Das Confusões,Parque,Park,II,"1998",Federal or national ministry or agency,BR-PI,8238.452
Saltatricula atricollis,"4504410",Parque Nacional Das Sempre Vivas,Parque,Park,II,"2002",Federal or national ministry or agency,BR-MG,1241.555
Saltatricula atricollis,"4504410",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Saltatricula atricollis,"4504410",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Saltatricula atricollis,"4504410",Parque Nacional Das Nascentes Do Rio Parnaiba,Parque,Park,II,"2002",Federal or national ministry or agency,"BR-BA, TO, MA, PI",7497.698
Saltatricula atricollis,"4504410",Parque Nacional Da Chapada Das Mesas,Parque,Park,II,"2005",Federal or national ministry or agency,BR-MA,1599.530
Saltatricula atricollis,"4504410",Parque Estadual Do Cantão,Parque,Park,II,"1998",Sub-national ministry or agency,BR-TO,1004.135
Saltatricula atricollis,"4504410",Parque Estadual Do Jalapão,Parque,Park,II,"2001",Sub-national ministry or agency,BR-TO,1589.719
Saltatricula atricollis,"4504410",Parque Estadual Do Araguaiaa,Parque,Park,II,"2001",Sub-national ministry or agency,BR-MT,2299.207
Salvator duseni,"440647",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Salvator duseni,"440647",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Salvator duseni,"440647",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Salvator duseni,"440647",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Salvator duseni,"440647",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Salvator duseni,"440647",Parque Estadual Do Jalapão,Parque,Park,II,"2001",Sub-national ministry or agency,BR-TO,1589.719
Rhinella rubescens,"724425",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Rhinella rubescens,"724425",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Rhinella rubescens,"724425",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Rhinella rubescens,"724425",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Rhinella rubescens,"724425",Parque Nacional Das Sempre Vivas,Parque,Park,II,"2002",Federal or national ministry or agency,BR-MG,1241.555
Rhinella rubescens,"724425",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Rhinella veredas,"86363",Estação Ecológica De Uruçuí-Una,Estação Ecológica,Ecological Station,Ia,"1981",Federal or national ministry or agency,BR-PI,1351.249
Rhinella veredas,"86363",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Rhinella veredas,"86363",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Rhinella veredas,"86363",Parque Nacional Das Nascentes Do Rio Parnaiba,Parque,Park,II,"2002",Federal or national ministry or agency,"BR-BA, TO, MA, PI",7497.698
Scinax maracaya,"9703",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Scinax rogerioi,"153012",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Scinax canastrensis,"29866",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Scinax constrictus,"1067899",Parque Nacional Do Araguaia,Parque,Park,II,"1959",Federal or national ministry or agency,BR-TO,5555.031
Scinax constrictus,"1067899",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Scinax constrictus,"1067899",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Scinax constrictus,"1067899",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Scinax constrictus,"1067899",Parque Nacional Das Nascentes Do Rio Parnaiba,Parque,Park,II,"2002",Federal or national ministry or agency,"BR-BA, TO, MA, PI",7497.698
Scinax constrictus,"1067899",Parque Nacional Da Chapada Das Mesas,Parque,Park,II,"2005",Federal or national ministry or agency,BR-MA,1599.530
Scinax constrictus,"1067899",Parque Estadual Do Cantão,Parque,Park,II,"1998",Sub-national ministry or agency,BR-TO,1004.135
Scinax constrictus,"1067899",Parque Estadual Do Jalapão,Parque,Park,II,"2001",Sub-national ministry or agency,BR-TO,1589.719
Scinax constrictus,"1067899",Parque Estadual Do Araguaiaa,Parque,Park,II,"2001",Sub-national ministry or agency,BR-MT,2299.207
Simophis rhinostoma,"1421441",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Simophis rhinostoma,"1421441",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Simophis rhinostoma,"1421441",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Simophis rhinostoma,"1421441",Parque Nacional Das Sempre Vivas,Parque,Park,II,"2002",Federal or national ministry or agency,BR-MG,1241.555
Simophis rhinostoma,"1421441",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Sporophila nigrorufa,"107707",Noel Kempff Mercado,Parque Nacional,National Park,II,"1979",Federal or national ministry or agency,"BO-B;BO-S",16172.036
Sporophila nigrorufa,"107707",Parque Estadual Serra Santa Bárbara,Parque,Park,II,"1997",Sub-national ministry or agency,BR-MT,1204.319
Sporophila nigrorufa,"107707",Parque Estadual Serra Ricardo Franco,Parque,Park,II,"1997",Sub-national ministry or agency,BR-MT,1578.306
Stenocercus albolineatus*,"138504",Parque Estadual Serra Ricardo Franco,Parque,Park,II,"1997",Sub-national ministry or agency,BR-MT,1578.306
Stenocercus quinarius,"48388",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Stenocercus quinarius,"48388",Refugio De Vida Silvestre Veredas Do Oeste Baiano,Refugio de Vida Silvestre,Wildlife Refuge,III,"2002",Federal or national ministry or agency,BR-BA,1280.497
Stenocercus quinarius,"48388",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Scytalopus novacapitalis,"89692",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Taoniscus nanus,"1308726",Parque Nacional Da Chapada Dos Veadeiros,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,2405.849
Taoniscus nanus,"1308726",Parque Nacional Das Emas,Parque,Park,II,"1961",Federal or national ministry or agency,BR-GO,1327.851
Taoniscus nanus,"1308726",Parque Nacional Da Serra Da Canastra,Parque,Park,II,"1972",Federal or national ministry or agency,BR-MG,1979.707
Taoniscus nanus,"1308726",Parque Nacional Grande Sertão Veredas,Parque,Park,II,"1989",Federal or national ministry or agency,BR-MG,2308.540
Taoniscus nanus,"1308726",Estacao Ecologica Serra Geral Do Tocantins,Estação Ecológica,Ecological Station,Ia,"2001",Federal or national ministry or agency,"BR-BA, TO",7070.870
Taoniscus nanus,"1308726",Parque Estadual Do Jalapão,Parque,Park,II,"2001",Sub-national ministry or agency,BR-TO,1589.719
