"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis assimilis*",1007,-20.0219,-44.0589,"<1%"
"Apostolepis assimilis*",1008,-20.0333,-44.0667,"<1%"
"Apostolepis assimilis*",1009,-23.6667,-47.2167,"<1%"
"Apostolepis assimilis*",1010,-23.5667,-47.2167,"<1%"
"Apostolepis assimilis*",1011,-20.35,-49.2139,"<1%"
"Apostolepis assimilis*",1012,-20.3417,-49.195,"<1%"
"Apostolepis assimilis*",1013,-23.0833,-47.2167,"<1%"
"Apostolepis assimilis*",1014,-18.9,-48,"<1%"
"Apostolepis assimilis*",1015,-19.8833,-50.3,"<1%"
"Apostolepis assimilis*",1016,-22.1,-46.1833,"<1%"
"Apostolepis assimilis*",1017,-20.25,-43.8,"<1%"
"Apostolepis assimilis*",1018,-22.4333,-45.4667,"<1%"
"Apostolepis assimilis*",1019,-22.4333,-45.45,"<1%"
"Apostolepis assimilis*",1020,-22.4256,-45.4528,"<1%"
"Apostolepis assimilis*",1021,-22.2833,-44.8833,"<1%"
"Apostolepis assimilis*",1022,-22.2833,-44.8667,"<1%"
"Apostolepis assimilis*",1023,-23.7167,-46.85,"<1%"
"Apostolepis assimilis*",1024,-23.55,-46.9333,"<1%"
"Apostolepis assimilis*",1025,-23.549,-46.934,"<1%"
"Apostolepis assimilis*",1026,-21.35,-48.7666,"<1%"
"Apostolepis assimilis*",1027,-20.1967,-44.4211,"<1%"
"Apostolepis assimilis*",1028,-20.2,-44.4167,"<1%"
"Apostolepis assimilis*",1029,-23,-46.85,"<1%"
"Apostolepis assimilis*",1030,-23.0058,-46.8389,"<1%"
"Apostolepis assimilis*",1031,-20.0833,-44.5667,"<1%"
"Apostolepis assimilis*",1032,-23.2667,-47.3,"<1%"
"Apostolepis assimilis*",1033,-23.2642,-47.2992,"<1%"
"Apostolepis assimilis*",1034,-23.35,-47.1667,"<1%"
"Apostolepis assimilis*",1035,-15.2402,-43.669,"<1%"
"Apostolepis assimilis*",1036,-23.5333,-46.9,"<1%"
"Apostolepis assimilis*",1037,-23.535,-47.262,"<1%"
"Apostolepis assimilis*",1038,-23.5275,-46.9025,"<1%"
"Apostolepis assimilis*",1039,-23.4378,-46.7928,"<1%"
"Apostolepis assimilis*",1040,-23.1014,-46.7283,"<1%"
"Apostolepis assimilis*",1041,-23.1,-46.7167,"<1%"
"Apostolepis assimilis*",1042,-17.8814,-51.7144,"<1%"
"Apostolepis assimilis*",1043,-17.8667,-51.7,"<1%"
"Apostolepis assimilis*",1044,-17.8833,-51.7167,"<1%"
"Apostolepis assimilis*",1045,-17.0833,-42.25,"<1%"
"Apostolepis assimilis*",1046,-17.75,-46.1667,"<1%"
"Apostolepis assimilis*",1047,-17.7333,-46.1667,"<1%"
"Apostolepis assimilis*",1048,-17.7333,-46.1833,"<1%"
"Apostolepis assimilis*",1049,-23.1864,-46.8842,"<1%"
"Apostolepis assimilis*",1050,-23.104,-55.226,"<1%"
