Classe,Nome.Científico,Nome.Científico.Anterior,Autor,Mês.Ano.Avaliação,Categoria,Critério,Bioma,Tendência.Populacional,Ameaça
Amphibia,Allobates goianus,Allobates goianus,"(Bokermann, 1975)",Jun-17,NT,,Cerrado,Desconhecida,"2.1.4 - Agricultura de escala desconhecida
2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2 - Mineração
3 - Produção energética e mineração
5.3 - Extração florestal
5 - Uso de recursos biológicos
7.2 - Represas e uso de água
7 - Modificações nos sistemas naturais
9.3 - Agrícola e florestal
9 - Poluição"
Amphibia,Proceratophrys cururu,Proceratophrys cururu,"Eterovick & Sazima, 1998",May-18,LC,,Cerrado,Desconhecida,"6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Bokermannohyla ravida,Bokermannohyla ravida,"(Caramaschi, Napoli & Bernardes, 2001)",Jun-17,DD,,Cerrado,Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Amphibia,Bokermannohyla napolii,,"Carvalho, Giaretta & Magrini, 2012",Jun-17,VU,D2,Cerrado,Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Amphibia,Chiasmocleis centralis,Chiasmocleis centralis,"Bokermann, 1952",Jun-17,DD,,Cerrado,Desconhecida,"2.1 - Culturas anuais e perenes não-madeireiras
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.2 - Mineração
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Dendropsophus cerradensis,Dendropsophus cerradensis,"(Napoli & Caramaschi, 1998)",Jun-17,DD,,Cerrado,Desconhecida,"2.2 - Silvicultura
2.3 - Pecuária
2 - Agropecuária e Aquacultura
3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Dendropsophus tritaeniatus,Dendropsophus tritaeniatus,"(Bokermann, 1965)",Jun-17,LC,,Cerrado,Desconhecida,"3.3.1 - Hidrelétricas
3.3 - Energia renovável
3 - Produção energética e mineração"
Amphibia,Hylodes otavioi,Hylodes otavioi,"Sazima & Bokermann, 1983",Jun-17,NT,,"Cerrado, Mata Atlântica",Desconhecida,"3.2 - Mineração
3 - Produção energética e mineração
7.1.1 - Aumento da frequência/intensidade de incêndios
7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Mammalia,Gyldenstolpia planaltensis,Gyldenstolpia planaltensis,"(Avila-Pires, 1972)",Jun-13,EN,"B1ab(iii,iv)",Cerrado,Desconhecida,
Mammalia,Oligoryzomys rupestris,Oligoryzomys rupestris,"Weksler & Bonvicino, 2005",Jun-13,EN,"B2ac(iii,iv)","Caatinga, Cerrado",Desconhecida,"7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Mammalia,Thalpomys cerradensis,Thalpomys cerradensis,"Hershkovitz, 1990",Jun-13,VU,A2c+3c,Cerrado,Desconhecida,"7.1 - Incêndios e supressão de incêndios
7 - Modificações nos sistemas naturais"
Mammalia,Lycalopex vetulus,Lycalopex vetulus,"(Lund, 1842)",,VU,A2c+3cd,"Amazônia, Caatinga, Cerrado, Mata Atlântica",,"11.1 - Mudança/alteração de habitat
1.1 - Expansão urbana
11 - Mudanças e extremos climáticos
1 - Desenvolvimento residencial e comercial
2.1.1 - Agricultura de rotação
2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2.3.3 - Pecuária agro-industrial
2.3 - Pecuária
2 - Agropecuária e Aquacultura
4.1 - Estradas e ferrovias
4.2 - Atropelamentos
4 - Transportes e serviços de transmissão
5.3 - Extração florestal
5 - Uso de recursos biológicos
6 - Distúrbios humanos
8.2 - Espécies domésticas
8 - Espécies invasoras
problemáticas e doenças"
Mammalia,Lonchophylla bokermanni,Lonchophylla bokermanni,"Sazima, Vizotto e Taddei, 1978",Nov-18,VU,B1ab(iii),"Caatinga, Cerrado",Desconhecida,"1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
3.2 - Mineração
3.3.2 - Parques eólicos
3.3 - Energia renovável
3 - Produção energética e mineração"
Mammalia,Lonchophylla dekeyseri,Lonchophylla dekeyseri,"Taddei, Vizotto e Sazima, 1983",Nov-18,EN,"B2ab(iii,v)","Cerrado, Mata Atlântica",Declinando,"1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
2 - Agropecuária e Aquacultura
3.2 - Mineração
3 - Produção energética e mineração
6.1 - Atividades recreacionais/turísticas
6 - Distúrbios humanos
9.3.3 - Herbicidas e pesticidas
9.3 - Agrícola e florestal
9 - Poluição"
Mammalia,Akodon lindberghi,Akodon lindberghi,"Hershkovitz, 1990",Apr-21,LC,,"Cerrado, Mata Atlântica",Desconhecida,
Mammalia,Calomys tocantinsi,Calomys tocantinsi,"Bonvicino, Lima & Almeida, 2003",Oct-20,LC,,"Amazônia, Cerrado",Desconhecida,"5.3.5 - Motivação desconhecida
5.3 - Extração florestal
5 - Uso de recursos biológicos"
Mammalia,Cerradomys marinhus,Cerradomys marinhus,"(Bonvicino, 2003)",Oct-20,LC,,"Amazônia, Cerrado",Desconhecida,"2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2.3.3 - Pecuária agro-industrial
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Mammalia,Cerradomys scotti,Cerradomys scotti,"(Langguth & Bonvicino, 2002)",Oct-20,LC,,"Amazônia, Caatinga, Cerrado, Pantanal",Desconhecida,"2.1.2 - Agricultura em pequenas propriedades
2.1.3 - Agricultura agro-industriais
2.1 - Culturas anuais e perenes não-madeireiras
2.3.2 - Pecuária em pequenas propriedades
2.3.3 - Pecuária agro-industrial
2.3 - Pecuária
2 - Agropecuária e Aquacultura"
Mammalia,Clyomys laticeps,Clyomys laticeps,"(Thomas, 1909)",Oct-20,LC,,"Cerrado, Mata Atlântica, Pantanal",Desconhecida,"2.1.2 - Agricultura em pequenas propriedades
2.1 - Culturas anuais e perenes não-madeireiras
2 - Agropecuária e Aquacultura"
Mammalia,Monodelphis kunsi,Monodelphis kunsi,"Pine, 1975",Oct-19,LC,,"Amazônia, Cerrado, Mata Atlântica",Desconhecida,
