species,rangesize,code,area_total,protected_range,prot_perc
Bokermannohyla sazimai,"9364","1","77538","66",0.0070
Celeus obrieni,"825273","1","77538","31799",0.0385
Cercomacra ferdinandi,"269082","1","77538","9616",0.0357
Cerradomys marinhus,"291448","1","77538","7898",0.0271
Cerradomys scotti,"2281453","1","77538","46800",0.0205
Callithrix penicillata,"1301874","1","77538","21794",0.0167
Calomys tocantinsi,"155446","1","77538","9269",0.0596
Carterodon sulcidens,"1099681","1","77538","5637",0.0051
Clibanornis rectirostris,"1678654","1","77538","20477",0.0122
Clyomys laticeps,"1373496","1","77538","13027",0.0095
Coleodactylus brachystoma,"477642","1","77538","19979",0.0418
Colobosaura modesta,"3352590","1","77538","51953",0.0155
Charitospiza eucosma,"3270074","1","77538","59197",0.0181
Chiasmocleis albopunctata,"2062226","1","77538","41764",0.0203
Chironius brazili*,"1108760","1","77538","8463",0.0076
Cinclodes espinhacensis,"2941","1","77538","454",0.1544
Ctenomys nattereri,"195476","1","77538","15090",0.0772
Cyanocorax cristatellus,"4033939","1","77538","69579",0.0172
Dendropsophus anataliasiasi,"400550","1","77538","10619",0.0265
Conothraupis mesoleuca,"144734","1","77538","1853",0.0128
Coryphaspiza melanotis,"3576856","1","77538","55246",0.0154
Crossodactylus trachystomus,"33530","1","77538","2490",0.0743
Ctenomys bicolor,"108826","1","77538","5",0.0000
Drymoluber brazili,"3738607","1","77538","55857",0.0149
Elachistocleis matogrosso,"158207","1","77538","1085",0.0069
Embernagra longicauda,"218284","1","77538","3818",0.0175
Enyalius capetinga*,"2536","1","77538","439",0.1731
Dendropsophus cruzi,"944655","1","77538","25152",0.0266
Dendropsophus elianeae,"980367","1","77538","6428",0.0066
Dendropsophus jimi,"828098","1","77538","4985",0.0060
Dendropsophus rubicundulus,"1479361","1","77538","44925",0.0304
Euryoryzomys lamia,"45977","1","77538","731",0.0159
Euscarthmus rufomarginatus,"3904841","1","77538","60224",0.0154
Galea flavidens,"1324021","1","77538","38848",0.0293
Geositta poeciloptera,"1987612","1","77538","25237",0.0127
Epicrates crassus,"4378535","1","77538","69196",0.0158
Epictia clinorostris*,"28685","1","77538","110",0.0038
Erythrolamprus maryellenae,"1096089","1","77538","24325",0.0222
