"species","rangeAnt","percNatCat","X","latitude","longitude"
"Bothrops itapetiningae",314614,"<30%",2538,-22.6667,-51.0833
"Bothrops itapetiningae",314614,"<30%",2539,-22.9,-47.0333
"Bothrops itapetiningae",314614,"<30%",2540,-24.0444,-49.0889
"Bothrops itapetiningae",314614,"<30%",2541,-23.8667,-49.1333
"Bothrops itapetiningae",314614,"<30%",2542,-23.85,-49.1333
"Bothrops itapetiningae",314614,"<30%",2543,-23.592,-48.053
"Bothrops itapetiningae",314614,"<30%",2544,-23.5833,-48.05
"Bothrops itapetiningae",314614,"<30%",2545,-23.5716,-48.0552
"Bothrops itapetiningae",314614,"<30%",2546,-24.0833,-49.0667
"Bothrops itapetiningae",314614,"<30%",2547,-24.0583,-48.975
"Bothrops itapetiningae",314614,"<30%",2548,-24.025,-48.975
"Bothrops itapetiningae",314614,"<30%",2549,-23.9667,-48.8667
"Bothrops itapetiningae",314614,"<30%",2550,-21.774,-47.086
"Bothrops itapetiningae",314614,"<30%",2551,-22.4333,-46.8167
"Bothrops itapetiningae",314614,"<30%",2552,-24.1167,-49.3333
"Bothrops itapetiningae",314614,"<30%",2553,-24.1,-49.2042
"Bothrops itapetiningae",314614,"<30%",2554,-24.1,-49.3167
"Bothrops itapetiningae",314614,"<30%",2555,-23.1,-48.6
"Bothrops itapetiningae",314614,"<30%",2556,-23.1,-48.6167
"Bothrops itapetiningae",314614,"<30%",2557,-23.102,-48.616
"Bothrops itapetiningae",314614,"<30%",2558,-22.25,-47.8167
"Bothrops itapetiningae",314614,"<30%",2559,-22.1575,-47.795
"Bothrops itapetiningae",314614,"<30%",2560,-22.2333,-47.8833
"Bothrops itapetiningae",314614,"<30%",2561,-22.2167,-47.8833
"Bothrops itapetiningae",314614,"<30%",2562,-22.5833,-48.8
"Bothrops itapetiningae",314614,"<30%",2563,-22.6,-48.8
"Bothrops itapetiningae",314614,"<30%",2564,-22.5667,-47.4
"Bothrops itapetiningae",314614,"<30%",2565,-22.55,-47.4
"Bothrops itapetiningae",314614,"<30%",2566,-22.9833,-48.6833
"Bothrops itapetiningae",314614,"<30%",2567,-21.4333,-47.8722
"Bothrops itapetiningae",314614,"<30%",2568,-14.4833,-46.1
"Bothrops itapetiningae",314614,"<30%",2569,-23,-49.3167
"Bothrops itapetiningae",314614,"<30%",2570,-21.35,-48.05
"Bothrops itapetiningae",314614,"<30%",2571,-21.6397,-48.2967
"Bothrops itapetiningae",314614,"<30%",2572,-21.6,-48.35
"Bothrops itapetiningae",314614,"<30%",2573,-21.6,-48.3667
"Bothrops itapetiningae",314614,"<30%",2574,-21.1667,-49.5667
"Bothrops itapetiningae",314614,"<30%",2575,-21.1333,-51.1
"Bothrops itapetiningae",314614,"<30%",2576,-22.35,-51.95
"Bothrops itapetiningae",314614,"<30%",2577,-22.3667,-46.9333
"Bothrops itapetiningae",314614,"<30%",2578,-22.3667,-46.95
"Bothrops itapetiningae",314614,"<30%",2579,-21.4667,-47.9667
"Bothrops itapetiningae",314614,"<30%",2580,-21.5083,-48.15
"Bothrops itapetiningae",314614,"<30%",2581,-21.5,-48.15
"Bothrops itapetiningae",314614,"<30%",2582,-20.7167,-47.8833
"Bothrops itapetiningae",314614,"<30%",2583,-22.5278,-50.5375
"Bothrops itapetiningae",314614,"<30%",2584,-22.4167,-50.5833
"Bothrops itapetiningae",314614,"<30%",2585,-22.4,-50.5667
"Bothrops itapetiningae",314614,"<30%",2586,-23.3833,-48.3833
"Bothrops itapetiningae",314614,"<30%",2587,-23.3833,-48.725
"Bothrops itapetiningae",314614,"<30%",2588,-23.389,-48.723
"Bothrops itapetiningae",314614,"<30%",2589,-22,-47.4167
"Bothrops itapetiningae",314614,"<30%",2590,-21.9917,-47.3667
"Bothrops itapetiningae",314614,"<30%",2591,-21.9833,-47.4167
"Bothrops itapetiningae",314614,"<30%",2592,-21.9394,-47.3653
"Bothrops itapetiningae",314614,"<30%",2593,-23.5167,-46.3333
"Bothrops itapetiningae",314614,"<30%",2594,-25.0833,-50.15
"Bothrops itapetiningae",314614,"<30%",2595,-25.0833,-50.1667
"Bothrops itapetiningae",314614,"<30%",2596,-25.0833,-50.3833
"Bothrops itapetiningae",314614,"<30%",2597,-25.095,-50.162
"Bothrops itapetiningae",314614,"<30%",2598,-22.5333,-55.7167
"Bothrops itapetiningae",314614,"<30%",2599,-19.1667,-47.6833
"Bothrops itapetiningae",314614,"<30%",2600,-21.3167,-48.1333
"Bothrops itapetiningae",314614,"<30%",2601,-21.359,-48.066
"Bothrops itapetiningae",314614,"<30%",2602,-21.8667,-51.8333
"Bothrops itapetiningae",314614,"<30%",2603,-22.1833,-52.5
"Bothrops itapetiningae",314614,"<30%",2604,-22.5167,-51.125
"Bothrops itapetiningae",314614,"<30%",2605,-22.2333,-50.9
"Bothrops itapetiningae",314614,"<30%",2606,-22.2333,-51.0333
"Bothrops itapetiningae",314614,"<30%",2607,-22.2167,-50.8833
"Bothrops itapetiningae",314614,"<30%",2608,-21.5833,-48.0667
"Bothrops itapetiningae",314614,"<30%",2609,-21.5869,-48.0708
"Bothrops itapetiningae",314614,"<30%",2610,-22.4,-47.55
"Bothrops itapetiningae",314614,"<30%",2611,-22.4,-47.5667
"Bothrops itapetiningae",314614,"<30%",2612,-19.8833,-47.45
"Bothrops itapetiningae",314614,"<30%",2613,-19.8667,-47.45
"Bothrops itapetiningae",314614,"<30%",2614,-22.8833,-49.6167
"Bothrops itapetiningae",314614,"<30%",2615,-19.5333,-47.45
"Bothrops itapetiningae",314614,"<30%",2616,-21.7,-47.4833
"Bothrops itapetiningae",314614,"<30%",2617,-21.5761,-47.4319
"Bothrops itapetiningae",314614,"<30%",2618,-21.4833,-47.3667
"Bothrops itapetiningae",314614,"<30%",2619,-21.4667,-47.35
"Bothrops itapetiningae",314614,"<30%",2620,-22.0167,-47.8833
"Bothrops itapetiningae",314614,"<30%",2621,-21.6,-46.8833
"Bothrops itapetiningae",314614,"<30%",2622,-21.5833,-46.8833
"Bothrops itapetiningae",314614,"<30%",2623,-20.8167,-49.3667
"Bothrops itapetiningae",314614,"<30%",2624,-22.7167,-48.5667
"Bothrops itapetiningae",314614,"<30%",2625,-20.9167,-46.9833
"Bothrops itapetiningae",314614,"<30%",2626,-21.4667,-47.55
"Bothrops itapetiningae",314614,"<30%",2627,-23.6417,-47.825
"Bothrops itapetiningae",314614,"<30%",2628,-23.3333,-47.7333
"Bothrops itapetiningae",314614,"<30%",2629,-23.641,-47.825
"Bothrops itapetiningae",314614,"<30%",2630,-24.1792,-49.6153
"Bothrops itapetiningae",314614,"<30%",2631,-24.1,-49.45
"Bothrops itapetiningae",314614,"<30%",2632,-21.0167,-50.7167
"Bothrops itapetiningae",314614,"<30%",2633,-23.5,-47.45
"Bothrops itapetiningae",314614,"<30%",2634,-23.502,-47.458
"Bothrops itapetiningae",314614,"<30%",2635,-19.75,-47.9333
"Bothrops itapetiningae",314614,"<30%",2636,-19.7333,-47.9167
"Bothrops itapetiningae",314614,"<30%",2637,-18.9167,-48.2833
"Bothrops itapetiningae",314614,"<30%",2638,-18.9167,-48.2667
"Bothrops itapetiningae",314614,"<30%",2639,-21.8167,-46.8833
"Bothrops itapetiningae",314614,"<30%",2640,-19.5333,-47.4333
"Bothrops itapetiningae",314614,"<30%",2641,-21.555,-47.704
"Bothrops itapetiningae",314614,"<30%",2642,-23.862,-49.137
"Bothrops itapetiningae",314614,"<30%",2643,-21.497,-48.038
"Bothrops itapetiningae",314614,"<30%",2644,-22.292,-51.906
"Bothrops itapetiningae",314614,"<30%",2645,-21.955,-47.997
"Bothrops itapetiningae",314614,"<30%",2646,-19.309,-47.525
"Bothrops itapetiningae",314614,"<30%",2647,-21.996,-47.426
"Bothrops itapetiningae",314614,"<30%",2648,-23.982,-48.876
"Bothrops itapetiningae",314614,"<30%",2649,-20.539,-47.401
"Bothrops itapetiningae",314614,"<30%",2650,-21.758,-48.829
"Bothrops itapetiningae",314614,"<30%",2651,-22.661,-51.076
"Bothrops itapetiningae",314614,"<30%",2652,-24.115,-49.341
"Bothrops itapetiningae",314614,"<30%",2653,-22.253,-47.823
