NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,REP_AREA,GIS_AREA,STATUS,STATUS_YR,SUB_LOC,PARENT_ISO,ISO3
Parque Nacional Da Chapada Das Mesas,Parque Nacional Da Chapada Das Mesas,Parque,Park,National,II,1599.52,1609.974314,Designated,2005,BR-MA,BRA,BRA
Parque Nacional Dos Campos Gerais,Parque Nacional Dos Campos Gerais,Parque,Park,National,II,212.989,213.9094958,Designated,2006,BR-PR,BRA,BRA
Área De Relevante Interesse Ecológico Águas De São João,Área De Relevante Interesse Ecológico Águas De São João,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.245284,0.24669743,Designated,2000,BR-GO,BRA,BRA
Estação Ecológica De Acauã,Estação Ecológica De Acauã,Estação Ecológica,Ecological Station,National,Ia,64.5512,64.91091418,Designated,1974,BR-MG,BRA,BRA
Estação Ecológica De Angatuba,Estação Ecológica De Angatuba,Estação Ecológica,Ecological Station,National,Ia,13.6289,13.69177621,Designated,1985,BR-SP,BRA,BRA
Estação Ecológica De Assis,Estação Ecológica De Assis,Estação Ecológica,Ecological Station,National,Ia,17.4775,17.56001926,Designated,1992,BR-SP,BRA,BRA
Estação Ecológica De Mogi-Guaçu,Estação Ecológica De Mogi-Guaçu,Estação Ecológica,Ecological Station,National,Ia,9.88249,9.929983566,Designated,1984,BR-SP,BRA,BRA
Estação Ecológica De Paranapanema,Estação Ecológica De Paranapanema,Estação Ecológica,Ecological Station,National,Ia,6.34524,6.374408842,Designated,1993,BR-SP,BRA,BRA
Estação Ecológica De Santa Maria,Estação Ecológica De Santa Maria,Estação Ecológica,Ecological Station,National,Ia,13.1213,13.1862788,Designated,1985,BR-SP,BRA,BRA
Parque Estadual Águas Do Cuiabá,Parque Estadual Águas Do Cuiabá,Parque,Park,National,II,109.62,110.2694893,Designated,2002,BR-MT,BRA,BRA
Parque Estadual Altamiro De Moura Pacheco,Parque Estadual Altamiro De Moura Pacheco,Parque,Park,National,II,31.3942,31.57160335,Designated,1993,BR-GO,BRA,BRA
Parque Estadual Mãe Bonifácia,Parque Estadual Mãe Bonifácia,Parque,Park,National,II,0.772114,0.776569264,Designated,2000,BR-MT,BRA,BRA
Parque Estadual Das Nascentes Do Rio Taquari,Parque Estadual Das Nascentes Do Rio Taquari,Parque,Park,National,II,305.974,307.6385583,Designated,1999,BR-MS,BRA,BRA
Parque Estadual Serra Azul,Parque Estadual Serra Azul,Parque,Park,National,II,110.066,110.6983367,Designated,1994,BR-MT,BRA,BRA
Parque Estadual Da Serra Dourada,Parque Estadual Da Serra Dourada,Parque,Park,National,II,286.438,288.0738262,Designated,2003,BR-GO,BRA,BRA
Parque Estadual De Paraúna,Parque Estadual De Paraúna,Parque,Park,National,II,33.3515,33.53804221,Designated,2002,BR-GO,BRA,BRA
Parque Estadual De Terra Ronca,Parque Estadual De Terra Ronca,Parque,Park,National,II,569.824,573.2412195,Designated,1989,BR-GO,BRA,BRA
Parque Estadual Do Araguaia,Parque Estadual Do Araguaia,Parque,Park,National,II,46.6272,46.90971622,Designated,2002,BR-GO,BRA,BRA
Parque Estadual Do Cantão,Parque Estadual Do Cantão,Parque,Park,National,II,1004.12,1010.51158,Designated,1998,BR-TO,BRA,BRA
Parque Estadual Do Guartelá,Parque Estadual Do Guartelá,Parque,Park,National,II,7.87793,7.912667862,Designated,1996,BR-PR,BRA,BRA
Parque Estadual Do Jalapão,Parque Estadual Do Jalapão,Parque,Park,National,II,1589.71,1599.73785,Designated,2001,BR-TO,BRA,BRA
Parque Estadual Do Lajeado,Parque Estadual Do Lajeado,Parque,Park,National,II,107.502,108.1832689,Designated,2001,BR-TO,BRA,BRA
Parque Estadual Do Prosa,Parque Estadual Do Prosa,Parque,Park,National,II,1.33482,1.341618542,Designated,2002,BR-MS,BRA,BRA
Parque Estadual Matas Do Segredo,Parque Estadual Matas Do Segredo,Parque,Park,National,II,1.77444,1.783495498,Designated,2000,BR-MS,BRA,BRA
Parque Estadual Dom Osório Stoffel,Parque Estadual Dom Osório Stoffel,Parque,Park,National,II,64.2063,64.56859863,Designated,2002,BR-MT,BRA,BRA
Parque Estadual Dos Pirineus,Parque Estadual Dos Pirineus,Parque,Park,National,II,28.3748,28.53774713,Designated,1987,BR-GO,BRA,BRA
Parque Estadual Das Furnas Do Bom Jesus,Parque Estadual Das Furnas Do Bom Jesus,Parque,Park,National,II,20.631,20.73688037,Designated,1989,BR-SP,BRA,BRA
Parque Estadual Grão Mogol,Parque Estadual Grão Mogol,Parque,Park,National,II,283.907,285.5155309,Designated,1998,BR-MG,BRA,BRA
Parque Estadual Rio Preto,Parque Estadual Rio Preto,Parque,Park,National,II,121.849,122.5111577,Designated,1994,BR-MG,BRA,BRA
Parque Estadual Do Sumidouro,Parque Estadual Do Sumidouro,Parque,Park,National,II,20.0569,20.16189445,Designated,1980,BR-MG,BRA,BRA
Parque Estadual Veredas Do Peruaçu,Parque Estadual Veredas Do Peruaçu,Parque,Park,National,II,312.5,314.3245211,Designated,1994,BR-MG,BRA,BRA
Refúgio De Vida Silvestre Corixão Da Mata Azul,Refúgio De Vida Silvestre Corixão Da Mata Azul,Refugio de Vida Silvestre,Wildlife Refuge,National,III,357.082,359.3886619,Designated,2001,BR-MT,BRA,BRA
Arie Do Bosque,Arie Do Bosque,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.195399,0.196520318,Designated,2001,BR-DF,BRA,BRA
Reserva Biológica Do Cerradão,Reserva Biológica Do Cerradão,Reserva Biológica,Biological Reserve,National,Ia,0.539152,0.542246925,Designated,1998,BR-DF,BRA,BRA
Arie Parque Jk,Arie Parque Jk,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,29.8673,30.03863255,Designated,1996,BR-DF,BRA,BRA
Arie Da Granja Do Ipê,Arie Da Granja Do Ipê,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,11.4126,11.47798624,Designated,1998,BR-DF,BRA,BRA
Arie Santuário De Vida Silvestre Do Riacho Fundo,Arie Santuário De Vida Silvestre Do Riacho Fundo,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,4.77251,4.799887212,Designated,1988,BR-DF,BRA,BRA
Arie Dom Bosco,Arie Dom Bosco,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.725592,0.729759016,Designated,2000,BR-DF,BRA,BRA
Arie Do Córrego Mato Grande,Arie Do Córrego Mato Grande,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,1.31948,1.327043662,Designated,2004,BR-DF,BRA,BRA
Arie Do Torto,Arie Do Torto,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,2.08938,2.101407813,Designated,2006,BR-DF,BRA,BRA
Arie Cruls,Arie Cruls,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.549653,0.552827018,Designated,2008,BR-DF,BRA,BRA
Arie Da Vila Estrutural,Arie Da Vila Estrutural,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.442272,0.444814765,Designated,2007,BR-DF,BRA,BRA
Arie Do Córrego Cabeceira Do Valo,Arie Do Córrego Cabeceira Do Valo,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,0.624129,0.627720908,Designated,2007,BR-DF,BRA,BRA
Estação Ecológica Do Rio Preto,Estação Ecológica Do Rio Preto,Estação Ecológica,Ecological Station,National,Ia,48.7942,49.10638494,Designated,2005,BR-BA,BRA,BRA
Monumento Natural Das Árvores Fossilizadas,Monumento Natural Das Árvores Fossilizadas,Monumento Natural,Natural Monument,National,III,292.446,294.3519819,Designated,2000,BR-TO,BRA,BRA
Estação Ecológica Do Barreiro Rico,Estação Ecológica Do Barreiro Rico,Estação Ecológica,Ecological Station,National,Ia,2.97269,2.986734675,Designated,2006,BR-SP,BRA,BRA
Parque Estadual Do Descoberto,Parque Estadual Do Descoberto,Parque,Park,National,II,19.3261,19.43729848,Designated,2005,BR-GO,BRA,BRA
Parque Estadual Campos Altos,Parque Estadual Campos Altos,Parque,Park,National,II,7.82725,7.868010975,Designated,2004,BR-MG,BRA,BRA
Parque Estadual Da Lapa Grande,Parque Estadual Da Lapa Grande,Parque,Park,National,II,153.731,154.5963462,Designated,2006,BR-MG,BRA,BRA
Parque Estadual Serra Nova E Talhado,Parque Estadual Serra Nova E Talhado,Parque,Park,National,II,498.561,501.4272444,Designated,2003,BR-MG,BRA,BRA
Parque Estadual Serra Do Intendente,Parque Estadual Serra Do Intendente,Parque,Park,National,II,135.122,135.8395007,Designated,2007,BR-MG,BRA,BRA
Parque Estadual Da Serra Do Cabral,Parque Estadual Da Serra Do Cabral,Parque,Park,National,II,224.445,225.6751477,Designated,2005,BR-MG,BRA,BRA
Reserva Biológica Do Rio Descoberto,Reserva Biológica Do Rio Descoberto,Reserva Biológica,Biological Reserve,National,Ia,4.34076,4.365722256,Designated,2005,BR-DF,BRA,BRA
Parque Estadual Pau Furado,Parque Estadual Pau Furado,Parque,Park,National,II,21.8554,21.97217943,Designated,2007,BR-MG,BRA,BRA
Parque Estadual De Montezuma,Parque Estadual De Montezuma,Parque,Park,National,II,17.4143,17.51568616,Designated,2007,BR-MG,BRA,BRA
Parque Estadual Caminho Dos Gerais,Parque Estadual Caminho Dos Gerais,Parque,Park,National,II,562.163,565.4398172,Designated,2007,BR-MG,BRA,BRA
Parque Estadual Serra Verde,Parque Estadual Serra Verde,Parque,Park,National,II,1.42089,1.428280863,Designated,2007,BR-MG,BRA,BRA
Reserva Biológica Do Gama,Reserva Biológica Do Gama,Reserva Biológica,Biological Reserve,National,Ia,5.36754,5.398221467,Designated,1988,BR-DF,BRA,BRA
Monumento Natural Do Rio Formoso,Monumento Natural Do Rio Formoso,Monumento Natural,Natural Monument,National,III,0.183512,0.184428166,Designated,2003,BR-MS,BRA,BRA
Monumento Natural Da Gruta Do Lago Azul,Monumento Natural Da Gruta Do Lago Azul,Monumento Natural,Natural Monument,National,III,2.38669,2.398605502,Designated,2001,BR-MS,BRA,BRA
Estação Ecológica Da Serra Das Araras,Estação Ecológica Da Serra Das Araras,Estação Ecológica,Ecological Station,National,Ia,271.595,273.1618696,Designated,1982,BR-MT,BRA,BRA
Parque Estadual Serra Do Sobrado,Parque Estadual Serra Do Sobrado,Parque,Park,National,II,3.83807,3.85809277,Designated,2010,BR-MG,BRA,BRA
Estação Ecológica De Avaré,Estação Ecológica De Avaré,Estação Ecológica,Ecological Station,National,Ia,7.20085,7.234524207,Designated,2010,BR-SP,BRA,BRA
Parque Estadual Do Limoeiro,Parque Estadual Do Limoeiro,Parque,Park,National,II,20.0932,20.19827729,Designated,2011,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Cara Da Onça,Reserva Particular Do Patrimônio Natural Cara Da Onça,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.117032,0.117622627,Designated,2009,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Xodó Do Vô Ruy,Reserva Particular Do Patrimônio Natural Xodó Do Vô Ruy,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,4.87785,4.901640017,Designated,2006,BR-MS,BRA,BRA
Refúgio Estadual De Vida Silvestre Libélulas Da Serra De São José,Refúgio Estadual De Vida Silvestre Libélulas Da Serra De São José,Refugio de Vida Silvestre,Wildlife Refuge,National,III,37.1205,37.30604663,Designated,2004,BR-MG,BRA,BRA
Monumento Natural Estadual Vargem Da Pedra,Monumento Natural Estadual Vargem Da Pedra,Monumento Natural,Natural Monument,National,III,0.101034,0.101562637,Designated,2010,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Vale Do Sol Ii,Reserva Particular Do Patrimônio Natural Vale Do Sol Ii,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,4.99949,5.024474585,Designated,2011,BR-MS,BRA,BRA
Parque Estadual Vale Do Códo,Parque Estadual Vale Do Códo,Parque,Park,National,II,8.6326,8.671054996,Designated,2007,BR-PR,BRA,BRA
Reserva Particular Do Patrimônio Natural Cachoeiras Do São Bento,Reserva Particular Do Patrimônio Natural Cachoeiras Do São Bento,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,30.3523,30.51739685,Designated,2010,BR-MS,BRA,BRA
Parque Estadual Zé Bolo Flô,Parque Estadual Zé Bolo Flô,Parque,Park,National,II,0.516844,0.519822016,Designated,2000,BR-MT,BRA,BRA
Monumento Natural Canyons E Corredeiras Do Rio Sono,Monumento Natural Canyons E Corredeiras Do Rio Sono,Monumento Natural,Natural Monument,National,III,14.576,14.66819901,Designated,2012,BR-TO,BRA,BRA
Reserva Particular Do Patrimônio Natural Fazenda São Geraldo,Reserva Particular Do Patrimônio Natural Fazenda São Geraldo,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,6.77414,6.807810491,Designated,1999,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Douradinho,Reserva Particular Do Patrimônio Natural Douradinho,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,9.78828,9.836617089,Designated,2003,BR-MS,BRA,BRA
Parque Estadual Cerca Grande,Parque Estadual Cerca Grande,Parque,Park,National,II,1.34263,1.349662318,Designated,2010,BR-MG,BRA,BRA
Monumento Natural Experiência Da Jaguara,Monumento Natural Experiência Da Jaguara,Monumento Natural,Natural Monument,National,III,0.385019,0.387038065,Designated,2010,BR-MG,BRA,BRA
Parque Estadual De Paracatu,Parque Estadual De Paracatu,Parque,Park,National,II,63.9786,64.33548216,Designated,2011,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Cabeceira Do Prata,Reserva Particular Do Patrimônio Natural Cabeceira Do Prata,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,2.92077,2.935147932,Designated,1999,BR-MS,BRA,BRA
Monumento Natural Estadual Várzea Da Lapa,Monumento Natural Estadual Várzea Da Lapa,Monumento Natural,Natural Monument,National,III,0.235442,0.236673521,Designated,2010,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Rancho Tucano,Reserva Particular Do Patrimônio Natural Rancho Tucano,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,0.298705,0.300196652,Designated,2011,BR-MS,BRA,BRA
Reserva Particular Do Patrimônio Natural Cabeceira Da Lagoa,Reserva Particular Do Patrimônio Natural Cabeceira Da Lagoa,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,4.31024,4.332698635,Designated,2011,BR-MS,BRA,BRA
Monumento Natural Estadual Gruta Rei Do Mato,Monumento Natural Estadual Gruta Rei Do Mato,Monumento Natural,Natural Monument,National,III,1.40644,1.413810239,Designated,1984,BR-MG,BRA,BRA
Reserva Particular Do Patrimônio Natural Ponte De Pedra,Reserva Particular Do Patrimônio Natural Ponte De Pedra,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,1.71809,1.727193526,Designated,2004,BR-MS,BRA,BRA
Monumento Natural Estadual Peter Lund,Monumento Natural Estadual Peter Lund,Monumento Natural,Natural Monument,National,III,0.729507,0.733369465,Designated,2005,BR-MG,BRA,BRA
Monumento Natural Do Conjunto Espeleológico Do Morro Da Pedreira,Monumento Natural Do Conjunto Espeleológico Do Morro Da Pedreira,Monumento Natural,Natural Monument,National,III,0.905532,0.910765949,Designated,2010,BR-DF,BRA,BRA
Reserva Particular Do Patrimônio Natural Poleiro Grande,Reserva Particular Do Patrimônio Natural Poleiro Grande,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,IV,165.402,166.3198262,Designated,1998,BR-MS,BRA,BRA
