binomial,range,rangeNat,rangeAnt,percNat,percForPlant,percPast,percSugCan,percSoy,lulcYear
Philodryas livida,233053,56365,176688,0.2419,0.0118,0.5715,0.0172,0.0485,2000
Philodryas livida,233055,52567,180488,0.2256,0.0121,0.5589,0.0231,0.0651,2005
Philodryas livida,233056,52182,180874,0.2239,0.0205,0.5266,0.0443,0.0635,2010
Philodryas livida,233051,52317,180734,0.2245,0.0375,0.4759,0.0642,0.0755,2015
Philodryas livida,233040,52225,180815,0.2241,0.0467,0.4475,0.0591,0.1016,2020
Philodryas mattogrossensis,357139,95138,262001,0.2664,0.0054,0.5334,0.0262,0.0636,2000
Philodryas mattogrossensis,357138,89398,267740,0.2503,0.0056,0.5161,0.034,0.0826,2005
Philodryas mattogrossensis,357139,88858,268281,0.2488,0.011,0.4888,0.0583,0.0727,2010
Philodryas mattogrossensis,357136,89228,267908,0.2498,0.0227,0.4455,0.0787,0.0829,2015
Philodryas mattogrossensis,357122,88960,268162,0.2491,0.0285,0.4206,0.0748,0.1035,2020
Phyllomyias reiseri,677505,331300,346205,0.489,0.0032,0.359,1.00E-04,0.057,2000
Phyllomyias reiseri,677505,316002,361503,0.4664,0.003,0.3566,0.001,0.0783,2005
Phyllomyias reiseri,677503,307265,370238,0.4535,0.0051,0.3502,0.0052,0.0832,2010
Phyllomyias reiseri,677505,296266,381239,0.4373,0.011,0.3367,0.0115,0.1016,2015
Phyllomyias reiseri,677504,295224,382280,0.4358,0.0127,0.3166,0.0118,0.118,2020
Phyllomys brasiliensis,2409,879,1530,0.3649,0.0174,0.4504,0,0.0017,2000
Phyllomys brasiliensis,2409,886,1523,0.3678,0.0216,0.4541,0,0.0021,2005
Phyllomys brasiliensis,2410,895,1515,0.3714,0.0357,0.4145,0,0.0033,2010
Phyllomys brasiliensis,2410,869,1541,0.3606,0.0523,0.3975,0,0.0058,2015
Phyllomys brasiliensis,2410,903,1507,0.3747,0.0627,0.3485,0,0.0054,2020
Phyllomys centralis,1335,633,702,0.4742,0.0434,0.1461,0,7.00E-04,2000
Phyllomys centralis,1334,618,716,0.4633,0.054,0.1342,0,0.0022,2005
