Bachia didactyla,1354,2888,2,0,124,233,,24,,5,23,,,16,1168,,232,,,,
Bachia geralista,475,14198,29,435,7204,544,,381,,,39,,,2,1875,,803,16,,87,33
Bachia micromela,182,35,,0,,6,,0,,,0,,,,0,,0,,,,
Bachia oxyrhina,10,42,,10,247,,,,,,0,,,0,,,,,,,
Bachia psamophila,31,194,,2,1,26,,3,,0,19,,,99,0,,0,,,,
Barycholos ternetzi,71018,182699,4062,33064,42158,178041,7226,44719,3,3095,1427,328,190,5687,62440,1046,10307,1085,270,11,412
Boana botumirim,85,208,2,1,51,6,,2,,,6,,,4,,,,0,,,
Boana buriti,1255,3044,59,171,1559,3337,0,1437,,136,87,5,0,104,3992,,162,44,6,0,4
Boana caiapo*,25392,48786,176,36157,1545,55887,72,5040,,183,323,,3,2089,8030,999,2140,,,,0
Boana cipoensis,737,2817,350,20,338,507,,334,,9,12,466,,15,1,,2,3,2,0,
Boana ericae,121,398,1,28,354,29,,17,,3,1,,,0,10,,2,,,,
Boana goiana,4393,8561,186,214,3408,7463,0,3289,,1020,247,12,12,372,6031,,262,12,2,0,4
Boana jaguariaivensis,143,4,74,42,59,29,,51,,5,0,,,1,111,,6,,,,
Boana lundii,85580,165717,17468,17375,32591,254914,36521,87636,,5514,1936,2030,300,8257,78931,,13917,3300,2447,257,144
Boana stenocephala,123,19,59,8,19,103,13,183,,37,2,0,1,8,92,,30,15,0,0,
Bokermannohyla alvarengai,2521,8541,1520,59,1480,2088,,1099,,23,50,960,2,29,4,,4,11,2,0,
Bokermannohyla ibitiguara,153,99,2,13,342,546,4,152,,4,2,76,,12,66,,12,13,0,0,
Bokermannohyla izecksohni*,64,1,26,6,0,60,29,115,,42,1,,,0,3,,1,0,2,0,
Bokermannohyla nanuzae,1030,407,72,17,149,579,,446,,12,3,457,2,1,1,,1,6,,0,
Bokermannohyla napolii,117,60,4,4,23,307,,180,,7,2,,,36,112,,16,32,3,0,
Bokermannohyla pseudopseudis,2923,9287,60,108,1909,3168,0,426,,25,105,4,53,816,711,,47,,,,
