,species,latitude,longitude
206,Alipiopsitta xanthops,-14.3975,-50.9964
207,Alipiopsitta xanthops,-14.3833,-51
208,Alipiopsitta xanthops,-15.7945,-48.7764
209,Alipiopsitta xanthops,-14.1845,-44.5344
210,Alipiopsitta xanthops,-19.8325,-54.8295
211,Alipiopsitta xanthops,-18.4667,-47.2167
212,Alipiopsitta xanthops,-18.4735,-47.2004
213,Alipiopsitta xanthops,-19.8245,-45.9044
214,Alipiopsitta xanthops,-14.5,-49.1667
215,Alipiopsitta xanthops,-17.3833,-44.8
216,Alipiopsitta xanthops,-14.4167,-56.05
217,Alipiopsitta xanthops,-19.0095,-57.6535
218,Alipiopsitta xanthops,-18.5445,-53.1295
219,Alipiopsitta xanthops,-18.5,-54.75
220,Alipiopsitta xanthops,-18.5075,-54.7605
221,Alipiopsitta xanthops,-18.2167,-54.6667
222,Alipiopsitta xanthops,-16.7695,-47.6144
223,Alipiopsitta xanthops,-15.5833,-56.0833
224,Alipiopsitta xanthops,-18.7565,-44.4314
225,Alipiopsitta xanthops,-18.1535,-47.5624
226,Alipiopsitta xanthops,-20.3445,-46.8544
227,Alipiopsitta xanthops,-11.7,-46.7333
228,Alipiopsitta xanthops,-9.8005,-49.2144
229,Alipiopsitta xanthops,-16.6525,-46.2714
230,Alipiopsitta xanthops,-18.4315,-47.6094
231,Alipiopsitta xanthops,-22.2215,-54.8065
232,Alipiopsitta xanthops,-19.2,-47.1333
233,Alipiopsitta xanthops,-15.5333,-47.6167
234,Alipiopsitta xanthops,-15.7833,-47.9167
235,Alipiopsitta xanthops,-6.55,-47.4333
236,Alipiopsitta xanthops,-15.95,-47.9333
237,Alipiopsitta xanthops,-15.9833,-55.9167
238,Alipiopsitta xanthops,-17.0667,-45.9
239,Alipiopsitta xanthops,-21.45,-56.4333
240,Alipiopsitta xanthops,-21.1,-56.2167
241,Alipiopsitta xanthops,-16.25,-57.55
242,Alipiopsitta xanthops,-18.4667,-57.3667
243,Alipiopsitta xanthops,-18.9833,-56.65
244,Alipiopsitta xanthops,-19.5833,-56.15
245,Alipiopsitta xanthops,-15.8333,-46.5
246,Alipiopsitta xanthops,-11.3,-48.9333
247,Alipiopsitta xanthops,-15.9,-51.4
248,Alipiopsitta xanthops,-14.4495,-47.0504
249,Alipiopsitta xanthops,-15.5375,-47.3344
250,Alipiopsitta xanthops,-14.9333,-46.2167
251,Alipiopsitta xanthops,-11.7975,-49.5294
252,Alipiopsitta xanthops,-17.4833,-47.3333
253,Alipiopsitta xanthops,-17.5667,-47.1333
254,Alipiopsitta xanthops,-19.8667,-47.8833
255,Alipiopsitta xanthops,-20.5395,-47.4014
256,Alipiopsitta xanthops,-22.4185,-54.2335
257,Alipiopsitta xanthops,-16.6667,-49.2667
258,Alipiopsitta xanthops,-8.7765,-48.9324
259,Alipiopsitta xanthops,-18.8445,-46.7934
260,Alipiopsitta xanthops,-16.3495,-53.7584
261,Alipiopsitta xanthops,-19.4785,-46.5394
262,Alipiopsitta xanthops,-20.4625,-47.1224
263,Alipiopsitta xanthops,-20.4335,-51.3434
264,Alipiopsitta xanthops,-19.7265,-51.9305
265,Alipiopsitta xanthops,-17.0655,-43.3094
266,Alipiopsitta xanthops,-15.0833,-44.1167
267,Alipiopsitta xanthops,-20.6667,-51.5167
268,Alipiopsitta xanthops,-17.2095,-54.1505
269,Alipiopsitta xanthops,-22.3055,-53.8155
270,Alipiopsitta xanthops,-13.6195,-44.4334
271,Alipiopsitta xanthops,-15.9833,-55.0333
272,Alipiopsitta xanthops,-15.9655,-54.9685
273,Alipiopsitta xanthops,-21.4805,-56.1385
274,Alipiopsitta xanthops,-17.8815,-51.7144
275,Alipiopsitta xanthops,-17.75,-46.1667
276,Alipiopsitta xanthops,-17.7435,-46.1734
277,Alipiopsitta xanthops,-21.5155,-51.4344
278,Alipiopsitta xanthops,-10.7945,-49.6244
279,Alipiopsitta xanthops,-18.7795,-46.4084
280,Alipiopsitta xanthops,-17.8355,-46.5144
281,Alipiopsitta xanthops,-6.5833,-43.6167
282,Alipiopsitta xanthops,-9.7965,-49.6544
283,Alipiopsitta xanthops,-10.5167,-46.1
284,Alipiopsitta xanthops,-10.5485,-46.4214
285,Alipiopsitta xanthops,-15.4445,-50.7464
286,Alipiopsitta xanthops,-19.9965,-46.2264
287,Alipiopsitta xanthops,-17.5695,-52.5514
288,Alipiopsitta xanthops,-18.7255,-47.4994
289,Alipiopsitta xanthops,-21.2995,-51.5695
290,Alipiopsitta xanthops,-10.7628,-48.1089
291,Alipiopsitta xanthops,-17.4445,-51.1754
292,Alipiopsitta xanthops,-21.1355,-55.8305
293,Alipiopsitta xanthops,-14.4745,-48.4604
294,Alipiopsitta xanthops,-21.4665,-54.3845
295,Alipiopsitta xanthops,-22.2335,-53.3435
296,Alipiopsitta xanthops,-14.0995,-50.3274
297,Alipiopsitta xanthops,-19.1365,-47.6834
298,Alipiopsitta xanthops,-19.1333,-47.6833
299,Alipiopsitta xanthops,-14.6735,-52.3534
300,Alipiopsitta xanthops,-12.2905,-50.9684
301,Alipiopsitta xanthops,-14.9065,-53.0184
302,Alipiopsitta xanthops,-20.6833,-44.8167
303,Alipiopsitta xanthops,-18.2345,-47.8394
304,Alipiopsitta xanthops,-10.1675,-48.3334
305,Alipiopsitta xanthops,-7.8605,-47.9264
306,Alipiopsitta xanthops,-21.3565,-51.8605
307,Alipiopsitta xanthops,-17.2225,-46.8754
308,Alipiopsitta xanthops,-14.4325,-54.0514
309,Alipiopsitta xanthops,-10.2167,-44.6333
310,Alipiopsitta xanthops,-18.1,-53.3
311,Alipiopsitta xanthops,-10.4667,-46.3167
312,Alipiopsitta xanthops,-20.3833,-54.5833
313,Alipiopsitta xanthops,-19.2,-48.1333
314,Alipiopsitta xanthops,-18,-52.75
315,Alipiopsitta xanthops,-10,-45.8
316,Alipiopsitta xanthops,-15.7167,-47.95
317,Alipiopsitta xanthops,-15.35,-45.8333
318,Alipiopsitta xanthops,-18.5795,-46.5184
319,Alipiopsitta xanthops,-18.9445,-46.9934
320,Alipiopsitta xanthops,-20.2575,-47.4774
321,Alipiopsitta xanthops,-18.1015,-54.5525
322,Alipiopsitta xanthops,-12.0255,-48.5394
323,Alipiopsitta xanthops,-19.3535,-47.2934
324,Alipiopsitta xanthops,-17.3455,-44.9424
325,Alipiopsitta xanthops,-17.35,-44.9333
326,Alipiopsitta xanthops,-15.8525,-48.9594
327,Alipiopsitta xanthops,-10.4435,-49.1824
328,Alipiopsitta xanthops,-15.4535,-47.6144
329,Alipiopsitta xanthops,-15.9345,-52.3174
330,Alipiopsitta xanthops,-17.8155,-50.1644
331,Alipiopsitta xanthops,-20.1167,-47.9667
332,Alipiopsitta xanthops,-10.7085,-48.4174
333,Alipiopsitta xanthops,-15.65,-56.2
334,Alipiopsitta xanthops,-21.7635,-52.1165
335,Alipiopsitta xanthops,-18.4185,-46.4184
336,Alipiopsitta xanthops,-21.8765,-51.8445
337,Alipiopsitta xanthops,-15.9333,-47.8833
338,Alipiopsitta xanthops,-18.95,-48.2
339,Alipiopsitta xanthops,-16.2305,-45.9924
340,Alipiopsitta xanthops,-20.4435,-53.7595
341,Alipiopsitta xanthops,-12.9425,-51.8244
342,Alipiopsitta xanthops,-20.0815,-47.4214
