species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Antilophia galeata,Aves,Tyrannidae,Antilophia,"Antilophia galeata (Lichtenstein, 1823)",Antilophia galeata,"(Lichtenstein, 1823)",Wide,polygon,1823,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Aplastodiscus lutzorum,Amphibians,Hylidae,Aplastodiscus,"Aplastodiscus lutzorum* Berneck et al., 2017",Aplastodiscus lutzorum*,"Berneck et al., 2017",Restricted,polygon,2017,2000-2021,-14.1608,-47.5819,precise,s,Berneck et al 2017,LC
Apostolepis adhara,Snakes,Dipsadidae,Apostolepis,"Apostolepis adhara* França et al., 2018",Apostolepis adhara*,"França et al., 2018",Restricted,buffer,2018,2000-2021,-12.8053,-48.2199,Atlas,s,França et al 2018,-
Apostolepis albicollaris,Snakes,Dipsadidae,Apostolepis,"Apostolepis albicollaris Lema, 2002",Apostolepis albicollaris,"Lema, 2002",Restricted,polygon,2002,2000-2021,-15.8475,-47.9364,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis assimilis,Snakes,Dipsadidae,Apostolepis,"Apostolepis assimilis* (Reinhardt, 1861)",Apostolepis assimilis*,"(Reinhardt, 1861)",Partial,polygon,1861,1700-1899,-19.9833,-43.45,Atlas,s,Nogueira et al 2019,LC
Apostolepis barrioi,Snakes,Dipsadidae,Apostolepis,Apostolepis barrioi* Lema 1978,Apostolepis barrioi*,Lema 1978,Partial,polygon,1978,1900-1999,-23.4667,-56.5167,Atlas,s,Nogueira et al 2019,-
Apostolepis cerradoensis,Snakes,Dipsadidae,Apostolepis,"Apostolepis cerradoensis Lema, 2003",Apostolepis cerradoensis,"Lema, 2003",Restricted,buffer,2003,2000-2021,-13.8098,-48.3491,Atlas,n,Nogueira et al 2010; Nogueira et al 2019,DD
Apostolepis christineae,Snakes,Dipsadidae,Apostolepis,"Apostolepis christineae Lema, 2002",Apostolepis christineae,"Lema, 2002",Restricted,buffer,2002,2000-2021,-15.654,-57.214,Atlas,n,Nogueira et al 2010; Nogueira et al 2019,DD
Apostolepis flavotorquata,Snakes,Dipsadidae,Apostolepis,"Apostolepis flavotorquata (Duméril et al., 1854)",Apostolepis flavotorquata,"(Duméril et al., 1854)",Partial,polygon,1854,1700-1899,NA,NA,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis goiasensis,Snakes,Dipsadidae,Apostolepis,"Apostolepis goiasensis Prado, 1942",Apostolepis goiasensis,"Prado, 1942",Partial,polygon,1942,1900-1999,-17.7981,-50.9281,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis intermedia,Snakes,Dipsadidae,Apostolepis,"Apostolepis intermedia Koslowsky, 1898",Apostolepis intermedia,"Koslowsky, 1898",Partial,buffer,1898,1700-1899,NA,NA,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis kikoi,Snakes,Dipsadidae,Apostolepis,"Apostolepis kikoi* Santos et al., 2018",Apostolepis kikoi*,"Santos et al., 2018",Restricted,buffer,2018,2000-2021,-15.4608,-55.75,Atlas,s,"Santos et al., 2018",-
Apostolepis lineata,Snakes,Dipsadidae,Apostolepis,"Apostolepis lineata Cope, 1887",Apostolepis lineata,"Cope, 1887",Restricted,buffer,1887,1700-1899,-15.3,-55.85,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,DD
Apostolepis longicaudata,Snakes,Dipsadidae,Apostolepis,"Apostolepis longicaudata Amaral, 1921",Apostolepis longicaudata,"Amaral, 1921",Restricted,polygon,1921,1900-1999,-9.1122,-45.9222,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis nelsonjorgei,Snakes,Dipsadidae,Apostolepis,"Apostolepis nelsonjorgei Lema & Renner, 2004",Apostolepis nelsonjorgei,"Lema & Renner, 2004",Partial,polygon,2004,2000-2021,-13.8098,-48.3491,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis phillipsae,Snakes,Dipsadidae,Apostolepis,"Apostolepis phillipsae* Harvey, 1999",Apostolepis phillipsae*,"Harvey, 1999",Restricted,buffer,1999,1900-1999,-14.75,-61,Atlas,s,Nogueira et al 2019,VU
Apostolepis polylepis,Snakes,Dipsadidae,Apostolepis,"Apostolepis polylepis Amaral, 1921",Apostolepis polylepis,"Amaral, 1921",Partial,polygon,1921,1900-1999,-9.1122,-45.9222,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Apostolepis sanctaeritae,Snakes,Dipsadidae,Apostolepis,"Apostolepis sanctaeritae* Werner, 1924",Apostolepis sanctaeritae*,"Werner, 1924",Partial,polygon,2005,2000-2021,-11.0087,-44.5582,Atlas,s,Nogueira et al 2010;  Eutiespe-Neto et al 2020,-
Apostolepis serrana,Snakes,Dipsadidae,Apostolepis,"Apostolepis serrana Lema & Renner, 2006",Apostolepis serrana,"Lema & Renner, 2006",Restricted,buffer,2006,2000-2021,-12.85,-51.7667,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,EN
Apostolepis striata,Snakes,Dipsadidae,Apostolepis,"Apostolepis striata Lema, 2004",Apostolepis striata,"Lema, 2004",Restricted,buffer,2004,2000-2021,-12.6137,-60.0881,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,CR
Apostolepis tertulianobeui,Snakes,Dipsadidae,Apostolepis,"Apostolepis tertulianobeui* Lema, 2004",Apostolepis tertulianobeui*,"Lema, 2004",Partial,buffer,2004,2000-2021,-18.9186,-48.2772,Atlas,s,Nogueira et al 2010; Nogueira et al 2019,LC
Apostolepis vittata,Snakes,Dipsadidae,Apostolepis,"Apostolepis vittata (Cope, 1887)",Apostolepis vittata,"(Cope, 1887)",Restricted,buffer,1887,1700-1899,-15.461,-55.7503,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,VU
