species,taxa,family,genus,species_author,binomial,author,range.cat,areaClass,year,time.slice,latitude,longitude,obs.source,New,Reference,IUCN
Nothura minor,Aves,Tinamidae,Nothura,"Nothura minor (Spix, 1825)",Nothura minor,"(Spix, 1825)",Partial,polygon,1825,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",VU
Nyctiprogne vielliardi,Aves,Caprimulgidae,Nyctiprogne,"Nyctiprogne vielliardi (Lencioni-Neto, 1994)",Nyctiprogne vielliardi,"(Lencioni-Neto, 1994)",Restricted,polygon,1994,1900-1999,NA,NA,,s,Gwynne et al 2010,LC
Nystalus striatipectus,Aves,Bucconidae,Nystalus,Nystalus striatipectus (Sclater 1854),Nystalus striatipectus,(Sclater 1854),Partial,polygon,1854,1700-1899,NA,NA,,s,MZUSP,-
Odontophrynus cultripes,Amphibians,Odontophrynidae,Odontophrynus,"Odontophrynus cultripes Reinhardt & Lütken, 1862",Odontophrynus cultripes,"Reinhardt & Lütken, 1862",Partial,polygon,1862,1700-1899,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016,LC
Odontophrynus juquinha,Amphibians,Odontophrynidae,Odontophrynus,Odontophrynus juquinha* Rocha et al. 2017,Odontophrynus juquinha*,Rocha et al. 2017,Restricted,polygon,2017,2000-2021,-19.2581,-43.5347,precise,s,Rocha et al 2017,LC
Odontophrynus monachus,Amphibians,Odontophrynidae,Odontophrynus,"Odontophrynus monachus Caramaschi & Napoli, 2012",Odontophrynus monachus,"Caramaschi & Napoli, 2012",Restricted,buffer,2012,2000-2021,-20.1667,-46.5,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Oecomys cleberi,Mammals,Cricetidae,Oecomys,"Oecomys cleberi Locks, 1981",Oecomys cleberi,"Locks, 1981",Partial,polygon,1981,1900-1999,-15.8667,-47.8833,APC,s,Gutiérrez e Marinho-Filho 2017,DD
Oligoryzomys moojeni,Mammals,Cricetidae,Oligoryzomys,"Oligoryzomys moojeni Weksler & Bonvicino, 2005",Oligoryzomys moojeni,"Weksler & Bonvicino, 2005",Partial,polygon,2005,2000-2021,-14,-47.5667,APC,s,Bonvicino et al 2005; Carmignotto et al 2012; Gutiérrez e Marinho-Filho 2017,DD
Oligoryzomys rupestris,Mammals,Cricetidae,Oligoryzomys,"Oligoryzomys rupestris Weksler & Bonvicino, 2005",Oligoryzomys rupestris,"Weksler & Bonvicino, 2005",Partial,buffer,2005,2000-2021,-14,-47.5667,APC,s,Bonvicino et al 2005; Gutiérrez e Marinho-Filho 2017,DD
Ololygon canastrensis,Amphibians,Hylidae,Ololygon,"Ololygon canastrensis (Cardoso & Haddad, 1982)",Ololygon canastrensis,"(Cardoso & Haddad, 1982)",Restricted,polygon,1982,1900-1999,-20.187,-46.5135,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Ololygon centralis,Amphibians,Hylidae,Ololygon,"Ololygon centralis Pombal & Bastos, 1996",Ololygon centralis,"Pombal & Bastos, 1996",Restricted,polygon,1996,1900-1999,-16.6026,-48.547,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Ololygon goya,Amphibians,Hylidae,Ololygon,"Ololygon goya* (Andrade et al., 2018)",Ololygon goya*,"(Andrade et al., 2018)",Restricted,buffer,2018,2000-2021,-14.6842,-46.3019,precise,s,Andrade et al 2018,DD
Ololygon machadoi,Amphibians,Hylidae,Ololygon,"Ololygon machadoi (Bokermann & Sazima, 1973)",Ololygon machadoi,"(Bokermann & Sazima, 1973)",Restricted,polygon,1973,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Ololygon pombali,Amphibians,Hylidae,Ololygon,"Scinax pombali Lourenço et al., 2013",Ololygon pombali,"Lourenço et al., 2013",Restricted,buffer,2013,2000-2021,-20.6008,-46.293,precise,n,Azevedo et al 2016,DD
Ololygon skaios,Amphibians,Hylidae,Ololygon,"Scinax skaios Pombal et al., 2010",Ololygon skaios,"Pombal et al., 2010",Restricted,polygon,2010,2000-2021,-15.0881,-49.0397,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Oreobates antrum,Amphibians,Craugastoridae,Oreobates,Oreobates antrum* Vaz-Lima et al. 2018,Oreobates antrum*,Vaz-Lima et al. 2018,Restricted,buffer,2018,2000-2021,-13.3714,-46.3972,precise,s,Vaz-Lima et al 2018,LC
Oreobates heterodactylus,Amphibians,Craugastoridae,Oreobates,"Oreobates heterodactylus (Miranda-Ribeiro, 1937)",Oreobates heterodactylus,"(Miranda-Ribeiro, 1937)",Restricted,polygon,1937,1900-1999,-16.0194,-57.5839,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Oreobates remotus,Amphibians,Craugastoridae,Oreobates,"Oreobates remotus Teixeira Jr. et al., 2012",Oreobates remotus,"Teixeira Jr. et al., 2012",Restricted,buffer,2012,2000-2021,-15.1455,-44.2414,precise,n,Valdujo et al 2012; Azevedo et al 2016,EN
Oxymycterus delator,Mammals,Cricetidae,Oxymycterus,"Oxymycterus delator Thomas, 1903",Oxymycterus delator,"Thomas, 1903",Wide,polygon,1903,1900-1999,-25.6667,-56.9167,APC,s,Patton et al. 2015,LC
Oxymycterus itapeby,Mammals,Cricetidae,Oxymycterus,"Oxymycterus itapeby Peçanha et al., 2019",Oxymycterus itapeby,"Peçanha et al., 2019",Restricted,buffer,2019,2000-2021,-23.5833,-46.9667,APC,s,Peçanha et al 2019,-
Paroaria baeri,Aves,Thraupidae,Paroaria,"Paroaria baeri Hellmayr, 1907",Paroaria baeri,"Hellmayr, 1907",Partial,polygon,1907,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Penelope ochrogaster,Aves,Cracidae,Penelope,"Penelope ochrogaster Pelzeln, 1870",Penelope ochrogaster,"Pelzeln, 1870",Partial,polygon,1870,1700-1899,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,VU
Phaethornis nattereri,Aves,Trochilidae,Phaethornis,"Phaethornis nattereri Berlepsch, 1887",Phaethornis nattereri,"Berlepsch, 1887",Partial,polygon,1887,1700-1899,NA,NA,,s,Gwynne et al 2010,LC
Phalotris cerradensis,Snakes,Dipsadidae,Phalotris,"Phalotris cerradensis* Silveira, 2020",Phalotris cerradensis*,"Silveira, 2020",Restricted,buffer,2020,2000-2021,-14.821,-45.9731,Atlas,s,Silveira 2020,-
Phalotris concolor,Snakes,Dipsadidae,Phalotris,"Phalotris concolor Ferrarezzi, 1994",Phalotris concolor,"Ferrarezzi, 1994",Restricted,polygon,1994,1900-1999,-16.8003,-42.8622,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,DD
Phalotris labiomaculatus,Snakes,Dipsadidae,Phalotris,"Phalotris labiomaculatus Lema, 2002",Phalotris labiomaculatus,"Lema, 2002",Restricted,polygon,2002,2000-2021,-6.3383,-47.3992,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Phalotris lativittatus,Snakes,Dipsadidae,Phalotris,"Phalotris lativittatus Ferrarezzi, 1994",Phalotris lativittatus,"Ferrarezzi, 1994",Partial,polygon,1994,1900-1999,-21.6033,-48.3658,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,NT
Phalotris matogrossensis,Snakes,Dipsadidae,Phalotris,"Phalotris matogrossensis Lema et al., 2005",Phalotris matogrossensis,"Lema et al., 2005",Partial,polygon,2005,2000-2021,-15.5961,-56.0967,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Phalotris mertensi,Snakes,Dipsadidae,Phalotris,"Phalotris mertensi (Hoge, 1955)",Phalotris mertensi,"(Hoge, 1955)",Partial,polygon,1955,1900-1999,-21.3108,-47.5656,Atlas,n,Nogueira et al 2019,LC
Phalotris multipunctatus,Snakes,Dipsadidae,Phalotris,"Phalotris multipunctatus Puorto & Ferrarezzi, 1994",Phalotris multipunctatus,"Puorto & Ferrarezzi, 1994",Partial,buffer,1994,1900-1999,-22.2451,-48.0635,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,EN
Phalotris nasutus,Snakes,Dipsadidae,Phalotris,"Phalotris nasutus (Gomes, 1915)",Phalotris nasutus,"(Gomes, 1915)",Partial,polygon,1915,1900-1999,-19.75,-47.9167,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,LC
Phasmahyla jandaia,Amphibians,Phyllomedusidae,Phasmahyla,"Phasmahyla jandaia (Bokermann & Sazima, 1978)",Phasmahyla jandaia,"(Bokermann & Sazima, 1978)",Restricted,polygon,1978,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Philodryas livida,Snakes,Dipsadidae,Philodryas,"Philodryas livida (Amaral, 1923)",Philodryas livida,"(Amaral, 1923)",Partial,polygon,1923,1900-1999,-20.0833,-56.75,Atlas,n,Nogueira et al 2010; Azevedo et al 2016,VU
Philodryas mattogrossensis,Snakes,Dipsadidae,Philodryas,"Philodryas mattogrossensis Koslowsky, 1898",Philodryas mattogrossensis,"Koslowsky, 1898",Partial,polygon,1898,1700-1899,-20.2406,-56.3783,Atlas,n,Nogueira et al 2010; Nogueira et al 2019,LC
Phyllomyias reiseri,Aves,Tyrannidae,Phyllomyias,"Phyllomyias reiseri Hellmayr, 1905",Phyllomyias reiseri,"Hellmayr, 1905",Partial,polygon,1905,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Phyllomys brasiliensis,Mammals,Echimyidae,Phyllomys,"Phyllomys brasiliensis Lund, 1840",Phyllomys brasiliensis,"Lund, 1840",Restricted,polygon,1840,1700-1899,-19.5411,-43.9411,APC,s,Gutiérrez e Marinho-Filho 2017,EN
Phyllomys centralis,Mammals,Echimyidae,Phyllomys,"Phyllomys centralis Machado et al., 2018",Phyllomys centralis,"Machado et al., 2018",Restricted,buffer,2018,2000-2021,-15.8667,-47.8833,APC,s,"Machado et al., 2018",-
Phylloscartes roquettei,Aves,Rhynchocyclidae,Phylloscartes,"Phylloscartes roquettei Snethlage, 1928",Phylloscartes roquettei,"Snethlage, 1928",Partial,polygon,1928,1900-1999,NA,NA,,s,Gwynne et al 2010,EN
Physalaemus atim,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus atim* Brasileiro & Haddad, 2015",Physalaemus atim*,"Brasileiro & Haddad, 2015",Restricted,polygon,2015,2000-2021,-16.3284,-49.1631,precise,s,"Brasileiro e Haddad, 2015",LC
Physalaemus centralis,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus centralis Bokermann, 1962",Physalaemus centralis,"Bokermann, 1962",Wide,polygon,1962,1900-1999,-11.2,-53.2333,geoLoc,n,Valdujo et al 2012; Silva et al 2020,LC
Physalaemus claptoni,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus claptoni*  Leal et al., 2020",Physalaemus claptoni*,"Leal et al., 2020",Restricted,buffer,2020,2000-2021,-19.1669,-43.529,precise,s,Leal et al. 2020,DD
Physalaemus deimaticus,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus deimaticus Sazima & Caramaschi, 1988",Physalaemus deimaticus,"Sazima & Caramaschi, 1988",Restricted,polygon,1988,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Physalaemus evangelistai,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus evangelistai Bokermann, 1967",Physalaemus evangelistai,"Bokermann, 1967",Restricted,polygon,1967,1900-1999,-19.4405,-43.7183,associated,n,Valdujo et al 2012; Azevedo et al 2016,NT
Physalaemus marmoratus,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus marmoratus (Reinhardt & Lütken, 1862)",Physalaemus marmoratus,"(Reinhardt & Lütken, 1862)",Partial,polygon,1862,1700-1899,-19.63,-43.88,geoLoc,n,Valdujo et al 2012,LC
Physalaemus nattereri,Amphibians,Leptodactylidae,Physalaemus,"Physalaemus nattereri (Steindachner, 1863)",Physalaemus nattereri,"(Steindachner, 1863)",Wide,polygon,1863,1700-1899,-15.596,-56.097,geoLoc,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Pithecopus araguaius,Amphibians,Phyllomedusidae,Pithecopus,Pithecopus araguaius* Haga et al. 2017,Pithecopus araguaius*,Haga et al. 2017,Partial,buffer,2017,2000-2021,-15.9143,-52.2671,precise,s,Haga et al 2017,LC
Pithecopus ayeaye,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus ayeaye Lutz, 1966",Pithecopus ayeaye,"Lutz, 1966",Partial,polygon,1966,1900-1999,-21.8075,-46.5631,associated,n,Valdujo et al 2012; Azevedo et al 2016,LC
Pithecopus azureus,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus azureus (Cope, 1862)",Pithecopus azureus,"(Cope, 1862)",Partial,polygon,1862,1700-1899,NA,NA,NA,n,Valdujo et al 2012; Silva et al 2020,LC
Pithecopus centralis,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus centralis (Bokermann, 1965)",Pithecopus centralis,"(Bokermann, 1965)",Partial,polygon,1965,1900-1999,-15.4342,-55.8564,associated,n,Valdujo et al 2012; Azevedo et al 2016,VU
Pithecopus megacephalus,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus megacephalus (Miranda-Ribeiro, 1926)",Pithecopus megacephalus,"(Miranda-Ribeiro, 1926)",Restricted,polygon,1926,1900-1999,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016,LC
Pithecopus oreades,Amphibians,Phyllomedusidae,Pithecopus,"Pithecopus oreades (Brandão, 2002)",Pithecopus oreades,"(Brandão, 2002)",Partial,polygon,2002,2000-2021,-13.4983,-48.3484,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Placosoma cipoense,Lizards,Gymnophthalmidae,Placosoma,"Placosoma cipoense Cunha, 1966",Placosoma cipoense,"Cunha, 1966",Restricted,buffer,1966,1900-1999,-19.3333,-43.5333,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,EN
Polystictus superciliaris,Aves,Tyrannidae,Polystictus,"Polystictus superciliaris (Wied, 1831)",Polystictus superciliaris,"(Wied, 1831)",Partial,polygon,1831,1700-1899,NA,NA,,s,"Silva 1995; Silva 1997; Silva e Bates 2002, Gwynne et al 2010",LC
Porphyrospiza caerulescens,Aves,Thraupidae,Porphyrospiza,"Porphyrospiza caerulescens (Wied, 1830)",Porphyrospiza caerulescens,"(Wied, 1830)",Wide,polygon,1830,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002,NT
Pristimantis dundeei,Amphibians,Craugastoridae,Pristimantis,"Pristimantis dundeei (Heyer & Muñoz, 1999)",Pristimantis dundeei,"(Heyer & Muñoz, 1999)",Partial,polygon,1999,1900-1999,-15.4167,-55.7981,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Pristimantis moa,Amphibians,Craugastoridae,Pristimantis,"Pristimantis moa* Oliveira et al., 2020",Pristimantis moa*,"Oliveira et al., 2020",Restricted,polygon,2020,2000-2021,-7.86,-47.9534,precise,s,Oliveira et al 2020,LC
Pristimantis ventrigranulosus,Amphibians,Craugastoridae,Pristimantis,"Pristimantis ventrigranulosus Maciel et al., 2012",Pristimantis ventrigranulosus,"Maciel et al., 2012",Restricted,polygon,2012,2000-2021,-16.5897,-51.7953,precise,n,Valdujo et al 2012; Azevedo et al 2016,-
Proceratophrys bagnoi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys bagnoi Brandão et al., 2013",Proceratophrys bagnoi,"Brandão et al., 2013",Restricted,buffer,2013,2000-2021,-13.8299,-48.3214,precise,n,Azevedo et al 2016,EN
Proceratophrys branti,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys branti Brandão et al., 2013",Proceratophrys branti,"Brandão et al., 2013",Partial,polygon,2013,2000-2021,-10.505,-46.4333,precise,n,Azevedo et al 2016; Silva et al 2020,LC
Proceratophrys carranca,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys carranca Godinho et al., 2013",Proceratophrys carranca,"Godinho et al., 2013",Restricted,buffer,2013,2000-2021,-17.4036,-45.06,precise,n,Azevedo et al 2016,VU
Proceratophrys cururu,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys cururu Eterovick & Sazima, 1998",Proceratophrys cururu,"Eterovick & Sazima, 1998",Restricted,polygon,1998,1900-1999,-19.2833,-43.5833,precise,n,Valdujo et al 2012; Azevedo et al 2016,VU
Proceratophrys dibernardoi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys dibernardoi Brandão et al., 2013",Proceratophrys dibernardoi,"Brandão et al., 2013",Partial,polygon,2013,2000-2021,-17.6192,-52.5164,precise,n,Azevedo et al 2016,LC
Proceratophrys goyana,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys goyana (Miranda-Ribeiro, 1937)",Proceratophrys goyana,"(Miranda-Ribeiro, 1937)",Partial,polygon,1937,1900-1999,-14.1858,-47.7894,associated,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Proceratophrys huntingtoni,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys huntingtoni Ávila et al., 2012",Proceratophrys huntingtoni,"Ávila et al., 2012",Restricted,buffer,2012,2000-2021,-14.8667,-55.8,precise,n,Azevedo et al 2016,VU
Proceratophrys moratoi,Amphibians,Odontophrynidae,Proceratophrys,Proceratophrys moratoi (Jim & Caramaschi 1980),Proceratophrys moratoi,(Jim & Caramaschi 1980),Partial,polygon,1980,1900-1999,-22.8833,-48.5,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Proceratophrys rotundipalpebra,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys rotundipalpebra Martins & Giaretta, 2013",Proceratophrys rotundipalpebra,"Martins & Giaretta, 2013",Restricted,polygon,2013,2000-2021,-13.8728,-47.2619,precise,n,Azevedo et al 2016,NT
Proceratophrys salvatori,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys salvatori (Caramaschi, 1996)",Proceratophrys salvatori,"(Caramaschi, 1996)",Restricted,polygon,1996,1900-1999,-14.1333,-47.5333,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Proceratophrys strussmannae,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys strussmannae Ávila et al., 2011",Proceratophrys strussmannae,"Ávila et al., 2011",Restricted,polygon,2011,2000-2021,-15.09,-58.7403,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Proceratophrys vielliardi,Amphibians,Odontophrynidae,Proceratophrys,"Proceratophrys vielliardi Martins & Giaretta, 2011",Proceratophrys vielliardi,"Martins & Giaretta, 2011",Restricted,polygon,2011,2000-2021,-17.7667,-48.7,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Pseudis tocantins,Amphibians,Hylidae,Pseudis,"Pseudis tocantins Caramaschi & Cruz, 1998",Pseudis tocantins,"Caramaschi & Cruz, 1998",Partial,polygon,1998,1900-1999,-10.7,-48.4167,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Pseudopaludicola atragula,Amphibians,Leptodactylidae,Pseudopaludicola,Pseudopaludicola atragula* Pansonato et al. 2014,Pseudopaludicola atragula*,Pansonato et al. 2014,Restricted,polygon,2014,2000-2021,-20.3419,-49.1947,precise,s,Pansonato et al 2014,LC
Pseudopaludicola coracoralinae,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola coracoralinae* Andrade et al., 2020",Pseudopaludicola coracoralinae*,"Andrade et al., 2020",Restricted,buffer,2020,2000-2021,-16.7831,-49.8672,precise,s,Andrade et al 2020,LC
Pseudopaludicola facureae,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola facureae* Andrade & Carvalho, 2013",Pseudopaludicola facureae*,"Andrade & Carvalho, 2013",Partial,polygon,2013,2000-2021,-18.975,-48.2906,precise,s,"Andrade e Carvalho, 2013",LC
Pseudopaludicola ibisoroca,Amphibians,Leptodactylidae,Pseudopaludicola,Pseudopaludicola ibisoroca* Pansonato et al. 2016,Pseudopaludicola ibisoroca*,Pansonato et al. 2016,Restricted,buffer,2016,2000-2021,-17.7306,-53.2897,precise,s,Pansonato et al 2016,VU
Pseudopaludicola jazmynmcdonaldae,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola jazmynmcdonaldae* Andrade et al., 2019",Pseudopaludicola jazmynmcdonaldae*,"Andrade et al., 2019",Restricted,buffer,2019,2000-2021,-9.4156,-49.9744,precise,s,Andrade et al 2019; Silva et al 2020,EN
Pseudopaludicola mineira,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola mineira* Lobo, 1994",Pseudopaludicola mineira*,"Lobo, 1994",Restricted,buffer,1994,1900-1999,-19.3333,-43.5333,precise,s,Valdujo et al 2012,LC
Pseudopaludicola ternetzi,Amphibians,Leptodactylidae,Pseudopaludicola,"Pseudopaludicola ternetzi* Miranda-Ribeiro, 1937",Pseudopaludicola ternetzi*,"Miranda-Ribeiro, 1937",Partial,polygon,1937,1900-1999,-14.5094,-49.1392,precise,s,Valdujo et al 2012; Silva et al 2020,LC
Psilops seductus,Lizards,Gymnophthalmidae,Psilops,"Psilops seductus* Rodrigues et al., 2017",Psilops seductus*,"Rodrigues et al., 2017",Restricted,buffer,2017,2000-2021,-13.8833,-45.7,precise,s,"Rodrigues et al., 2017",-
Pyrrhura pfrimeri,Aves,Psittacidae ,Pyrrhura,"Pyrrhura pfrimeri Miranda-Ribeiro, 1920",Pyrrhura pfrimeri,"Miranda-Ribeiro, 1920",Restricted,polygon,1920,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002,EN
Rhachidelus brazili,Snakes,Dipsadidae,Rhachidelus,"Rhachidelus brazili Boulenger, 1908",Rhachidelus brazili,"Boulenger, 1908",Partial,polygon,1908,1900-1999,NA,NA,Atlas,n,Azevedo et al 2016;,LC
Rhachisaurus brachylepis,Lizards,Gymnophthalmidae,Rhachisaurus,"Rhachisaurus brachylepis (Dixon, 1974)",Rhachisaurus brachylepis,"(Dixon, 1974)",Restricted,polygon,1974,1900-1999,-19.2281,-43.5769,geoLoc,n,Nogueira et al 2010; Azevedo et al 2016,DD
Rhinella cerradensis,Amphibians,Bufonidae,Rhinella,"Rhinella cerradensis Maciel et al., 2007",Rhinella cerradensis,"Maciel et al., 2007",Partial,polygon,2007,2000-2021,-14.8167,-45.8,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Rhinella inopina,Amphibians,Bufonidae,Rhinella,"Rhinella inopina Vaz-Silva et al., 2012",Rhinella inopina,"Vaz-Silva et al., 2012",Restricted,polygon,2012,2000-2021,-13.3833,-46.3333,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Rhinella ocellata,Amphibians,Bufonidae,Rhinella,"Rhinella ocellata (Günther, 1858)",Rhinella ocellata,"(Günther, 1858)",Partial,polygon,1858,1700-1899,NA,NA,NA,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Rhinella rubescens,Amphibians,Bufonidae,Rhinella,"Rhinella rubescens (Lutz, 1925)",Rhinella rubescens,"(Lutz, 1925)",Partial,polygon,1925,1900-1999,NA,NA,NA,n,Valdujo et al 2012,LC
Rhinella scitula,Amphibians,Bufonidae,Rhinella,"Rhinella scitula (Caramaschi & Niemeyer, 2003)",Rhinella scitula,"(Caramaschi & Niemeyer, 2003)",Partial,polygon,2003,2000-2021,-20.9833,-56.5166,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Rhinella sebbeni,Amphibians,Bufonidae,Rhinella,"Rhinella sebbeni* Vaz-Silva et al., 2015",Rhinella sebbeni*,"Vaz-Silva et al., 2015",Restricted,polygon,2015,2000-2021,-16.5733,-49.1828,precise,s,"Vaz-Silva et al., 2015",NT
Rhinella veredas,Amphibians,Bufonidae,Rhinella,"Rhinella veredas (Brandão et al., 2007)",Rhinella veredas,"(Brandão et al., 2007)",Partial,polygon,2007,2000-2021,-14.8167,-45.9667,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Rhipidomys ipukensis,Mammals,Cricetidae,Rhipidomys,"Rhipidomys ipukensis Rocha et al., 2011",Rhipidomys ipukensis,"Rocha et al., 2011",Restricted,polygon,2011,2000-2021,-10.7936,-49.6236,APC,s,Patton et al. 2015,DD
Rhipidomys macrurus,Mammals,Cricetidae,Rhipidomys,"Rhipidomys macrurus (Gervais, 1855)",Rhipidomys macrurus,"(Gervais, 1855)",Wide,polygon,1855,1700-1899,-20.0465,-49.9962,APC,s,Carmignotto et al 2012,LC
Saltatricula atricollis,Aves,Thraupidae,Saltatricula,"Saltatricula atricollis (Vieillot, 1817)",Saltatricula atricollis,"(Vieillot, 1817)",Wide,polygon,1817,1700-1899,NA,NA,,s,Silva 1995; Silva 1997; Silva e Bates 2002; Gwynne et al 2010,LC
Salvator duseni,Lizards,Teiidae,Salvator,"Salvator duseni (Lönnberg, 1910)",Salvator duseni,"(Lönnberg, 1910)",Partial,polygon,1910,1900-1999,NA,NA,NA,n,Nogueira et al 2010; Azevedo et al 2016,LC
Scinax cabralensis,Amphibians,Hylidae,Scinax,"Scinax cabralensis Drummond et al., 2007",Scinax cabralensis,"Drummond et al., 2007",Restricted,buffer,2007,2000-2021,-17.676,-44.1114,precise,n,Valdujo et al 2012; Azevedo et al 2016,EN
Scinax constrictus,Amphibians,Hylidae,Scinax,"Scinax constrictus Lima et al., 2005",Scinax constrictus,"Lima et al., 2005",Partial,polygon,2005,2000-2021,-16.8086,-49.9455,precise,n,Valdujo et al 2012; Azevedo et al 2016; Silva et al 2020,LC
Scinax curicica,Amphibians,Hylidae,Scinax,"Scinax curicica Pugliesse et al., 2004",Scinax curicica,"Pugliesse et al., 2004",Restricted,polygon,2004,2000-2021,-19.2544,-43.5383,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Scinax haddadorum,Amphibians,Hylidae,Scinax,"Scinax haddadorum* Araújo-Vieira et al., 2016",Scinax haddadorum*,"Araújo-Vieira et al., 2016",Restricted,polygon,2016,2000-2021,-15.6928,-52.3497,precise,s,"Araújo-Vieira et al., 2016",LC
Scinax maracaya,Amphibians,Hylidae,Scinax,"Scinax maracaya (Cardoso & Sazima, 1980)",Scinax maracaya,"(Cardoso & Sazima, 1980)",Restricted,polygon,1980,1900-1999,-20.6667,-46.2667,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Scinax rogerioi,Amphibians,Hylidae,Scinax,"Scinax rogerioi Pugliese et al., 2009",Scinax rogerioi,"Pugliese et al., 2009",Partial,polygon,2009,2000-2021,-14.15,-47.6,precise,n,Valdujo et al 2012,LC
Scinax rossaferesae,Amphibians,Hylidae,Scinax,Scinax rossaferesae* Conte et al. 2016,Scinax rossaferesae*,Conte et al. 2016,Restricted,polygon,2016,2000-2021,-24.2464,-49.7521,precise,s,Conte et al 2016,LC
Scinax rupestris,Amphibians,Hylidae,Scinax,"Scinax rupestris* Araújo-Vieira et al., 2015",Scinax rupestris*,"Araújo-Vieira et al., 2015",Restricted,buffer,2015,2000-2021,-14.1583,-47.6117,precise,s,"Araújo-Vieira et al., 2015",VU
Scinax tigrinus,Amphibians,Hylidae,Scinax,"Scinax tigrinus Nunes et al., 2010",Scinax tigrinus,"Nunes et al., 2010",Restricted,polygon,2010,2000-2021,-16.3222,-47.2194,precise,n,Valdujo et al 2012; Azevedo et al 2016,LC
Scytalopus novacapitalis,Aves,Rhinocryptidae,Scytalopus,"Scytalopus novacapitalis Sick, 1958",Scytalopus novacapitalis,"Sick, 1958",Partial,polygon,1958,1900-1999,NA,NA,,s,Silva 1997; Silva e Bates 2002; Gwynne et al 2010; WikiAves,EN
