Taxa,Family,Genus,Species,Voucher,Series,Locality,Municipality,State,Country,Latitude,Longitude,elevation
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Mogi-Mirim,SP,Brazil,-22.4333,-46.9667,669
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Nova Lima,MG,Brazil,-19.9667,-43.85,858
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Olho D'Agua, Rio Roncador",GO,Brazil,-16.9167,-50.7833,607
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Onça de Pitangui,MG,Brazil,-19.7167,-44.8,787
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Palma, Rio Amas",TO,Brazil,-12.6167,-47.8667,279
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional Chapada dos Veadeiros,GO,Brazil,-14.1167,-47.5167,1123
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional das Emas,GO,Brazil,-18,-52.75,742
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Parque Nacional de Brasília, PARNA Brasília",DF,Brazil,-15.7167,-47.95,1077
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Parque Nacional de Ilha Grande,PR,Brazil,-23.6667,-54,221
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Patrocínio/MG,MG,Brazil,-18.9445,-46.9934,1003
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Pederneiras,SP,Brazil,-22.35,-48.7667,474
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Piracicaba,SP,Brazil,-22.7167,-47.6167,554
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Planaltina,DF,Brazil,-15.6167,-47.6667,1027
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Reserva Ecologica do IBGE, Brasília",DF,Brazil,-15.9333,-47.8833,1099
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Ribeirao Picarrao, Fazenda Monte Carmelo, Estrela do Sul",MG,Brazil,-18.8,-47.8833,935
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Rio Itaqueri, São Carlos",SP,Brazil,-22.25,-47.8667,915
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Sacramento/MG,MG,Brazil,-19.8655,-47.4404,893
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,São Romao,MG,Brazil,-16.3667,-45.0667,494
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,São Roque de Minas/MG,MG,Brazil,-20.2455,-46.3664,901
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Serra da Canastra, São roque de Minas",MG,Brazil,-20.25,-46.6167,929
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Sete Lagoas,MG,Brazil,-19.45,-44.2333,887
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Taguatinga,DF,Brazil,-15.8167,-48.05,1211
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Terenos/MS,MS,Brazil,-20.4425,-54.8605,466
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Uberaba,MG,Brazil,-19.75,-47.9167,752
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,Uberaba/MG,MG,Brazil,-19.7485,-47.9324,750
Aves,Tyrannidae,Alectrurus,Alectrurus tricolor,"Esteves-Lopes, 2005",,,"Usina Hidroeletrica de Queimado, Unai",MG,Brazil,-16.2,-47.2833,879
