binomial*,species,year,New,areaClass
Ischnocnema penaxavantinho,Ischnocnema penaxavantinho,2007,n,polygon
Juscelinomys candango,Juscelinomys candango,1965,s,OUT
Juscelinomys huanchacae,Juscelinomys huanchacae,1999,s,OUT
Kentropyx paulensis,Kentropyx paulensis,1893,n,polygon
Kentropyx vanzoi,Kentropyx vanzoi,1980,n,polygon
Kerodon acrobata,Kerodon acrobata,1997,s,polygon
Knipolegus franciscanus,Knipolegus franciscanus,1928,s,polygon
Kunsia tomentosus,Kunsia tomentosus,1830,s,polygon
Laterallus xenopterus,Laterallus xenopterus,1934,s,polygon
Leposternon cerradensis,Leposternon cerradensis,2008,n,buffer
Leposternon maximus,Leposternon maximus,2011,n,buffer
Leposternon mineiro*,Leposternon mineiro,2018,s,buffer
Leptodactylus brevipes*,Leptodactylus brevipes,1887,s,polygon
Leptodactylus camaquara,Leptodactylus camaquara,1978,n,polygon
Leptodactylus cunicularius,Leptodactylus cunicularius,1978,n,polygon
Leptodactylus furnarius,Leptodactylus furnarius,1978,n,polygon
Leptodactylus kilombo*,Leptodactylus kilombo,2020,s,polygon
Leptodactylus pustulatus,Leptodactylus pustulatus,1970,n,polygon
Leptodactylus sertanejo,Leptodactylus sertanejo,2007,n,polygon
Leptodactylus tapiti,Leptodactylus tapiti,1978,n,buffer
Liotyphlops schubarti,Liotyphlops schubarti,1948,n,buffer
Liotyphlops taylori*,Liotyphlops taylori,2018,s,buffer
Lonchophylla bokermanni,Lonchophylla bokermanni,1978,s,polygon
Lonchophylla dekeyseri,Lonchophylla dekeyseri,1983,s,polygon
Lycalopex vetulus,Lycalopex vetulus,1842,s,polygon
Lygophis paucidens,Lygophis paucidens,1953,n,polygon
Lysapsus caraya,Lysapsus caraya,1964,n,polygon
Manciola guaporicola,Manciola guaporicola,1935,n,polygon
Melanopareia torquata,Melanopareia torquata,1831,s,polygon
Micrablepharus atticolus,Micrablepharus atticolus,1996,n,polygon
Microakodontomys transitorius,Microakodontomys transitorius,1993,s,buffer
Poospiza cinerea,Microspingus cinereus,1850,s,polygon
Micrurus brasiliensis,Micrurus brasiliensis,1967,n,polygon
Micrurus tricolor,Micrurus tricolor,1956,n,polygon
Monodelphis kunsi,Monodelphis kunsi,1975,s,polygon
Monodelphis sanctaerosae,Monodelphis sanctaerosae,2012,s,buffer
Myiothlypis leucophrys,Myiothlypis leucophrys,1868,s,polygon
Neothraupis fasciata,Neothraupis fasciata,1823,s,polygon
Nothura minor,Nothura minor,1825,s,polygon
Nyctiprogne vielliardi,Nyctiprogne vielliardi,1994,s,polygon
Nystalus striatipectus,Nystalus striatipectus,1854,s,polygon
Odontophrynus cultripes,Odontophrynus cultripes,1862,n,polygon
Odontophrynus juquinha*,Odontophrynus juquinha,2017,s,polygon
Odontophrynus monachus,Odontophrynus monachus,2012,n,buffer
Oecomys cleberi,Oecomys cleberi,1981,s,polygon
Oligoryzomys moojeni,Oligoryzomys moojeni,2005,s,polygon
Oligoryzomys rupestris,Oligoryzomys rupestris,2005,s,buffer
Ololygon canastrensis,Ololygon canastrensis,1982,n,polygon
Ololygon centralis,Ololygon centralis,1996,n,polygon
Ololygon goya*,Ololygon goya,2018,s,buffer
Ololygon machadoi,Ololygon machadoi,1973,n,polygon
Ololygon pombali,Ololygon pombali,2013,n,buffer
Ololygon skaios,Ololygon skaios,2010,n,polygon
Oreobates antrum*,Oreobates antrum,2018,s,buffer
Oreobates heterodactylus,Oreobates heterodactylus,1937,n,polygon
Oreobates remotus,Oreobates remotus,2012,n,buffer
Oxymycterus delator,Oxymycterus delator,1903,s,polygon
Oxymycterus itapeby,Oxymycterus itapeby,2019,s,buffer
Paroaria baeri,Paroaria baeri,1907,s,polygon
Penelope ochrogaster,Penelope ochrogaster,1870,s,polygon
Phaethornis nattereri,Phaethornis nattereri,1887,s,polygon
Phalotris cerradensis*,Phalotris cerradensis,2020,s,buffer
Phalotris concolor,Phalotris concolor,1994,n,polygon
Phalotris labiomaculatus,Phalotris labiomaculatus,2002,n,polygon
Phalotris lativittatus,Phalotris lativittatus,1994,n,polygon
Phalotris matogrossensis,Phalotris matogrossensis,2005,n,polygon
Phalotris mertensi,Phalotris mertensi,1955,n,polygon
Phalotris multipunctatus,Phalotris multipunctatus,1994,n,buffer
Phalotris nasutus,Phalotris nasutus,1915,n,polygon
Phasmahyla jandaia,Phasmahyla jandaia,1978,n,polygon
Philodryas livida,Philodryas livida,1923,n,polygon
Philodryas mattogrossensis,Philodryas mattogrossensis,1898,n,polygon
Phyllomyias reiseri,Phyllomyias reiseri,1905,s,polygon
Phyllomys brasiliensis,Phyllomys brasiliensis,1840,s,polygon
Phyllomys centralis,Phyllomys centralis,2018,s,buffer
Phylloscartes roquettei,Phylloscartes roquettei,1928,s,polygon
Physalaemus atim*,Physalaemus atim,2015,s,polygon
Physalaemus centralis,Physalaemus centralis,1962,n,polygon
Physalaemus claptoni*,Physalaemus claptoni,2020,s,buffer
Physalaemus deimaticus,Physalaemus deimaticus,1988,n,polygon
Physalaemus evangelistai,Physalaemus evangelistai,1967,n,polygon
Physalaemus marmoratus,Physalaemus marmoratus,1862,n,polygon
Physalaemus nattereri,Physalaemus nattereri,1863,n,polygon
Pithecopus araguaius*,Pithecopus araguaius,2017,s,buffer
Pithecopus ayeaye,Pithecopus ayeaye,1966,n,polygon
Pithecopus azureus,Pithecopus azureus,1862,n,polygon
Pithecopus centralis,Pithecopus centralis,1965,n,polygon
Pithecopus megacephalus,Pithecopus megacephalus,1926,n,polygon
Pithecopus oreades,Pithecopus oreades,2002,n,polygon
Placosoma cipoense,Placosoma cipoense,1966,n,buffer
Polystictus superciliaris,Polystictus superciliaris,1831,s,polygon
Porphyrospiza caerulescens,Porphyrospiza caerulescens,1830,s,polygon
Pristimantis dundeei,Pristimantis dundeei,1999,n,polygon
Pristimantis moa*,Pristimantis moa,2020,s,polygon
Pristimantis ventrigranulosus,Pristimantis ventrigranulosus,2012,n,polygon
Proceratophrys bagnoi,Proceratophrys bagnoi,2013,n,buffer
Proceratophrys branti,Proceratophrys branti,2013,n,polygon
Proceratophrys carranca,Proceratophrys carranca,2013,n,buffer
