assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130274607,22702610,Phacellodomus sibilatrix,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,sibilatrix,,,,"Sclater, 1879",LC,,3.1,Decreasing,Global
130275321,22702621,Phacellodomus ruber,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,ruber,,,,"(Vieillot, 1817)",LC,,3.1,Decreasing,Global
130275632,22702627,Phacellodomus erythrophthalmus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,erythrophthalmus,,,,"(Wied, 1821)",LC,,3.1,Decreasing,Global
130276118,22702740,Pseudoseisura lophotes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Pseudoseisura,lophotes,,,,"(Reichenbach, 1853)",LC,,3.1,Decreasing,Global
130276465,22702757,Ancistrops strigilatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Ancistrops,strigilatus,,,,"(Spix, 1825)",LC,,3.1,Stable,Global
130276905,22702792,Anabacerthia ruficaudata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Anabacerthia,ruficaudata,,,,"(d'Orbigny &amp; Lafresnaye, 1838)",LC,,3.1,Decreasing,Global
130277191,22702800,Philydor pyrrhodes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Philydor,pyrrhodes,,,,"(Cabanis, 1848)",LC,,3.1,Stable,Global
130277586,22702803,Syndactyla dimidiata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Syndactyla,dimidiata,,,,"(Pelzeln, 1859)",LC,,3.1,Decreasing,Global
130278500,22702913,Anabazenops dorsalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Anabazenops,dorsalis,,,,"Sclater & Salvin, 1880",LC,,3.1,Stable,Global
130278783,22702929,Syndactyla roraimae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Syndactyla,roraimae,,,,"(Hellmayr, 1917)",LC,,3.1,Stable,Global
130279025,22702938,Automolus melanopezus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Automolus,melanopezus,,,,"(Sclater, 1858)",LC,,3.1,Decreasing,Global
130279293,22702946,Automolus rufipileatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Automolus,rufipileatus,,,,"(Pelzeln, 1859)",LC,,3.1,Decreasing,Global
130279567,22702949,Clibanornis rectirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Clibanornis,rectirostris,,,,"(Wied, 1831)",LC,,3.1,Decreasing,Global
130280143,22702972,Sclerurus caudacutus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Sclerurus,caudacutus,,,,"(Vieillot, 1816)",LC,,3.1,Decreasing,Global
130280465,22702992,Xenops tenuirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xenops,tenuirostris,,,,"Pelzeln, 1859",LC,,3.1,Stable,Global
130281058,22703001,Megaxenops parnaguae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Megaxenops,parnaguae,,,,"Reiser, 1905",LC,,3.1,Stable,Global
130281913,22703052,Dendrexetastes rufigula,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Dendrexetastes,rufigula,,,,"(Lesson, 1844)",LC,,3.1,Stable,Global
130282232,22703055,Hylexetastes stresemanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Hylexetastes,stresemanni,,,,"Snethlage, 1925",LC,,3.1,Decreasing,Global
130282827,22703068,Xiphocolaptes albicollis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphocolaptes,albicollis,,,,"(Vieillot, 1818)",LC,,3.1,Stable,Global
130283087,22703076,Xiphocolaptes major,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphocolaptes,major,,,,"(Vieillot, 1818)",LC,,3.1,Decreasing,Global
130283409,22703079,Dendrocolaptes certhia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Dendrocolaptes,certhia,,,,"(Boddaert, 1783)",LC,,3.1,Stable,Global
130284162,22703112,Xiphorhynchus obsoletus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,obsoletus,,,,"(Lichtenstein, 1820)",LC,,3.1,Decreasing,Global
130284616,22703118,Xiphorhynchus spixii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,spixii,,,,"(Lesson, 1830)",LC,,3.1,Decreasing,Global
130284868,22703121,Xiphorhynchus elegans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,elegans,,,,"(Pelzeln, 1868)",LC,,3.1,Decreasing,Global
130285514,22703124,Xiphorhynchus pardalotus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,pardalotus,,,,"(Vieillot, 1818)",LC,,3.1,Stable,Global
130286041,22703146,Xiphorhynchus triangularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,triangularis,,,,"(Lafresnaye, 1842)",LC,,3.1,Decreasing,Global
130324636,22703212,Chamaeza campanisona,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FORMICARIIDAE,Chamaeza,campanisona,,,,"(Lichtenstein, 1823)",LC,,3.1,Decreasing,Global
130324930,22703225,Chamaeza ruficauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FORMICARIIDAE,Chamaeza,ruficauda,,,,"(Cabanis & Heine, 1859)",LC,,3.1,Decreasing,Global
130325726,22703265,Grallaria eludens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,eludens,,,,"Lowery & O'Neill, 1969",LC,,3.1,Unknown,Global
130326039,22703281,Grallaria andicolus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,andicolus,,,,"(Cabanis, 1873)",LC,,3.1,Stable,Global
130327291,22703346,Myrmothera berlepschi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Myrmothera,berlepschi,,,,"(Hellmayr, 1903)",LC,,3.1,Stable,Global
130327889,22703409,Conopophaga ardesiaca,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,ardesiaca,,,,"d'Orbigny & Lafresnaye, 1837",LC,,3.1,Stable,Global
130328125,22703415,Conopophaga melanops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,melanops,,,,"(Vieillot, 1818)",LC,,3.1,Stable,Global
130328363,22703418,Conopophaga melanogaster,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,melanogaster,,,,"Ménétries, 1835",LC,,3.1,Stable,Global
130379158,22705705,Cyanocorax cyanomelas,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Cyanocorax,cyanomelas,,,,"(Vieillot, 1818)",LC,,3.1,Stable,Global
130379543,22705729,Cyanocorax chrysops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CORVIDAE,Cyanocorax,chrysops,,,,"(Vieillot, 1818)",LC,,3.1,Decreasing,Global
130386836,22705276,Hylophilus amaurocephalus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Hylophilus,amaurocephalus,,,,"(Nordmann, 1835)",LC,,3.1,Stable,Global
130387135,22705280,Hylophilus poicilotis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Hylophilus,poicilotis,,,,"Temminck, 1822",LC,,3.1,Stable,Global
130387486,22705286,Hylophilus semicinereus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Hylophilus,semicinereus,,,,"Sclater & Salvin, 1867",LC,,3.1,Stable,Global
130387791,22705290,Hylophilus pectoralis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Hylophilus,pectoralis,,,,"Sclater, 1866",LC,,3.1,Stable,Global
130388161,22705293,Vireo sclateri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Vireo,sclateri,,,,"(Salvin &amp; Godman, 1883)",LC,,3.1,Stable,Global
